"","fvegHW90mask","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"85",15,411.033294677734,762.973327636719,709.159973144531,132.285995483398,2.5132999420166,9.19330024719238,19.7199993133545,24.9815998077393,5.98680019378662,-197897.728457888,-10699.3064335315
"86",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"87",15,499.746704101562,656.9033203125,692.603271484375,129.157897949219,2.49559998512268,9.08670043945312,19.6133003234863,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"88",15,532.869995117188,637.843322753906,683.306701660156,127.366096496582,2.36730003356934,9.23330020904541,19.5533008575439,24.051700592041,5.83720016479492,-198798.868549884,-9628.11703160359
"89",15,346.096710205078,832.9033203125,698.333312988281,129.965301513672,2.53060007095337,9.14669990539551,19.7432994842529,24.6940002441406,5.79360008239746,-198726.671978904,-9216.18251393503
"90",15,435.003295898438,736.446716308594,779.006713867188,141.807998657227,3.6159999370575,9.59329986572266,18.7632999420166,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"91",15,396.320007324219,750.566711425781,780.023315429688,142.013900756836,3.46320009231567,9.64669990539551,18.8066997528076,24.4894008636475,6.79860019683838,-195682.431439368,-12382.9518692414
"92",15,411.033294677734,762.973327636719,709.159973144531,132.285995483398,2.5132999420166,9.19330024719238,19.7199993133545,24.9815998077393,5.98680019378662,-197897.728457888,-10699.3064335315
"93",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"94",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"95",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"96",15,499.746704101562,656.9033203125,692.603271484375,129.157897949219,2.49559998512268,9.08670043945312,19.6133003234863,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"97",15,532.869995117188,637.843322753906,683.306701660156,127.366096496582,2.36730003356934,9.23330020904541,19.5533008575439,24.051700592041,5.83720016479492,-198798.868549884,-9628.11703160359
"98",15,396.320007324219,750.566711425781,780.023315429688,142.013900756836,3.46320009231567,9.64669990539551,18.8066997528076,24.4894008636475,6.79860019683838,-195682.431439368,-12382.9518692414
"99",15,531.359985351562,640.559997558594,734.683288574219,136.21110534668,2.74379992485046,9.46669960021973,19.403299331665,25.0223999023438,6.48070001602173,-197354.901152899,-11330.4568272587
"100",15,411.033294677734,762.973327636719,709.159973144531,132.285995483398,2.5132999420166,9.19330024719238,19.7199993133545,24.9815998077393,5.98680019378662,-197897.728457888,-10699.3064335315
"101",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"102",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"103",15,499.746704101562,656.9033203125,692.603271484375,129.157897949219,2.49559998512268,9.08670043945312,19.6133003234863,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"104",15,531.359985351562,640.559997558594,734.683288574219,136.21110534668,2.74379992485046,9.46669960021973,19.403299331665,25.0223999023438,6.48070001602173,-197354.901152899,-11330.4568272587
"105",15,499.746704101562,656.9033203125,692.603271484375,129.157897949219,2.49559998512268,9.08670043945312,19.6133003234863,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"106",15,532.869995117188,637.843322753906,683.306701660156,127.366096496582,2.36730003356934,9.23330020904541,19.5533008575439,24.051700592041,5.83720016479492,-198798.868549884,-9628.11703160359
"107",15,435.003295898438,736.446716308594,779.006713867188,141.807998657227,3.6159999370575,9.59329986572266,18.7632999420166,24.5475997924805,6.72709989547729,-195112.663235063,-12851.1224480197
"108",15,396.320007324219,750.566711425781,780.023315429688,142.013900756836,3.46320009231567,9.64669990539551,18.8066997528076,24.4894008636475,6.79860019683838,-195682.431439368,-12382.9518692414
"109",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"110",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"111",15,375.649993896484,787.223327636719,699.030029296875,130.31379699707,2.53999996185303,9.01669979095459,19.8132991790771,24.7807998657227,5.60080003738403,-198141.580090167,-10463.3243041476
"112",15,499.746704101562,656.9033203125,692.603271484375,129.157897949219,2.49559998512268,9.08670043945312,19.6133003234863,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"113",15,499.746704101562,656.9033203125,692.603271484375,129.157897949219,2.49559998512268,9.08670043945312,19.6133003234863,24.2124004364014,5.73479986190796,-198447.882203426,-10194.7103163684
"114",15,531.359985351562,640.559997558594,734.683288574219,136.21110534668,2.74379992485046,9.46669960021973,19.403299331665,25.0223999023438,6.48070001602173,-197354.901152899,-11330.4568272587
"115",15,411.033294677734,762.973327636719,709.159973144531,132.285995483398,2.5132999420166,9.19330024719238,19.7199993133545,24.9815998077393,5.98680019378662,-197897.728457888,-10699.3064335315
"116",15,532.869995117188,637.843322753906,683.306701660156,127.366096496582,2.36730003356934,9.23330020904541,19.5533008575439,24.051700592041,5.83720016479492,-198856.86257723,-9482.17326691002
"117",2,347.86669921875,837.099975585938,703.843322753906,130.790802001953,2.58200001716614,9.40670013427734,19.903299331665,25.7418003082275,6.25769996643066,-197931.85606427,-8625.75774519797
"118",2,347.86669921875,837.099975585938,703.843322753906,130.790802001953,2.58200001716614,9.40670013427734,19.903299331665,25.7418003082275,6.25769996643066,-197932.913455994,-8670.21193164261
