"","fvegHW90mask","bird90","mammal90","reptile90","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"38",15,170,49,19,41.0717010498047,0,137.610702514648,135.690002441406,3.30859994888306,4.8253002166748,15.2412996292114,32.6176986694336,3.75399994850159,-82073.3551466757,90239.1828859304
"39",15,170,51,19,41.2696990966797,0,138.316696166992,136.859298706055,3.3610999584198,4.76399993896484,15.1909999847412,32.5663986206055,3.70219993591309,-79985.2289480812,89121.4886116595
"40",8,169,49,19,40.8613014221191,0,130.906997680664,129.523895263672,3.2846999168396,5.02899980545044,15.226300239563,32.6509017944336,3.92309999465942,-90517.9201564463,84729.8515169406
"41",15,171,49,19,NA,NA,127.458297729492,125.859100341797,3.26519989967346,5.28429985046387,15.3443002700806,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"42",15,169,48,19,NA,NA,127.544700622559,125.892997741699,3.26810002326965,5.24300003051758,15.3590002059937,32.782600402832,4.11770009994507,-90628.9627409798,84340.9033275195
"43",15,169,49,19,41.043701171875,0.254299998283386,127.932998657227,126.001899719238,3.26719999313354,5.09700012207031,15.2372999191284,32.7202987670898,3.99009990692139,-90858.8333289004,84802.4168859133
"44",15,141,60,18,21.5116996765137,0,157.983993530273,186.545394897461,8.68970012664795,0.854300022125244,9.55070018768311,27.3609008789062,0.794200003147125,-233578.863931768,184651.34588069
"45",2,148,54,15,31.9027004241943,0,234.037704467773,262.872009277344,9.76459980010986,2.88969993591309,13.1533002853394,29.4761009216309,2.82039999961853,-309093.833922091,257043.254831247
"46",15,157,54,27,36.9090003967285,6.75129985809326,76.7966995239258,58.5167999267578,1.48210000991821,1.68869996070862,11.8249998092651,31.0764007568359,1.2853000164032,100826.314317657,-348911.819106623
"47",15,159,51,19,30.6203002929688,0,187.88330078125,198.637893676758,3.81419992446899,1.50769996643066,14.1972999572754,31.7765998840332,0.779600024223328,-259042.837091954,128558.863045817
"48",15,163,49,19,30.6790008544922,0,154.58869934082,152.966995239258,2.54320001602173,1.68270003795624,14.5586996078491,32.219799041748,0.891099989414215,-243346.909708871,114928.81656218
"49",15,175,50,18,32.9053001403809,0,164.393707275391,163.739593505859,2.64269995689392,1.73070001602173,14.6169996261597,32.0589981079102,0.988900005817413,-239904.957244336,117654.960939141
"50",5,157,51,17,55.1360015869141,16.4272994995117,92.0112991333008,72.0141983032227,1.31579995155334,9.82870006561279,19.702299118042,26.8376998901367,9.21529960632324,165054.125668689,-451922.490604361
"51",8,187,50,21,61.0457000732422,14.8043003082275,117.730003356934,102.117301940918,1.42040002346039,10.0279998779297,18.8330001831055,29.2087001800537,10.2284002304077,103483.551324896,-439010.547254306
"52",5,188,49,21,60.4817008972168,17.2150001525879,98.7876968383789,78.7003021240234,0.939199984073639,9.57069969177246,19.2252998352051,24.3943996429443,9.47659969329834,104340.776531242,-441219.094267517
"53",15,188,45,19,65.7197036743164,2.93029999732971,165.635696411133,143.836898803711,0.999800026416779,7.69399976730347,17.3553009033203,27.5524005889893,8.25189971923828,-6974.01469783332,-387247.789578417
"54",8,119,26,6,51.6640014648438,9.88269996643066,87.7932968139648,67.7347030639648,0.624199986457825,9.72029972076416,18.0433006286621,23.8743991851807,9.72140026092529,154746.66155246,-519211.163210417
"55",8,119,26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,152066.244677063,-513235.044111205
"56",15,154,56,29,56.432300567627,3.17569994926453,191.345001220703,146.105392456055,3.04629993438721,4.05399990081787,13.4047002792358,29.3547992706299,4.31839990615845,170837.423818803,-415004.38398107
"57",15,184,49,21,60.9737014770508,10.226300239563,115.423698425293,95.2001037597656,1.30480003356934,8.43970012664795,19.5716991424561,30.0946998596191,8.11639976501465,118649.721643742,-434047.550806004
"58",7,136,63,17,42.1372985839844,0,185.128005981445,176.092300415039,5.94999980926514,2.00099992752075,13.0986995697021,31.1781005859375,1.50759994983673,38178.6738972311,-77943.0202491242
"59",15,137,63,17,46.0836982727051,0,195.516296386719,183.309997558594,6.36870002746582,2.25200009346008,12.3443002700806,30.488899230957,2.02760004997253,40723.1205220751,-80494.467680424
"60",9,137,63,17,NA,NA,185.696304321289,176.716293334961,6.0012001991272,2.03870010375977,13.1827001571655,31.2968997955322,1.53470003604889,37805.3706344628,-77393.3433139082
"61",5,204,52,15,NA,NA,121.660003662109,121.633102416992,2.13919997215271,8.02200031280518,15.6929998397827,18.8568992614746,7.30719995498657,-222182.622139371,-18682.7179273488
