"","fvegHW90mask","bird90","mammal90","reptile90","aetjan_90m","cwdjan_90m","pptjan_90m","pptdjf_90m","pptjja_90m","tmnjan_90m","tmxjan_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"108",8,154,57,29,43.2803001403809,8.41170024871826,108.03099822998,101.893898010254,7.60960006713867,2.7279999256134,14.4243001937866,31.658899307251,2.89930009841919,272462.805738401,-430488.559110011
"109",15,143,44,24,31.7637004852295,1.23199999332428,76.9493026733398,78.4044036865234,1.85000002384186,5.60500001907349,13.5697002410889,30.2063999176025,5.77470016479492,-141405.321105918,-39419.5332137421
"110",15,179,49,18,37.9706993103027,1.66700005531311,186.421295166016,166.270004272461,1.37769997119904,4.50129985809326,15.8809995651245,25.7521991729736,4.57070016860962,-67083.7318007507,-288006.886226334
"111",15,150,47,19,38.0186996459961,0.460299998521805,147.909301757812,131.651794433594,1.17709994316101,0.976700007915497,16.1072998046875,30.6368007659912,1.08010005950928,-43072.5055914622,-303050.980564998
"112",8,198,49,18,40.6343002319336,2.91569995880127,101.167297363281,93.5129013061523,1.24489998817444,5.34329986572266,17.1543006896973,20.9528007507324,5.55770015716553,-80011.3361100084,-306291.94072072
"113",7,187,50,19,31.6702995300293,0,196.057006835938,183.801605224609,2.56769990921021,4.78429985046387,14.4897003173828,28.5711994171143,4.95459985733032,-202403.407772052,-61737.8503379347
"114",8,183,50,20,33.11669921875,0,193.131698608398,192.204803466797,3.89669990539551,5.35099983215332,13.4783000946045,26.8603992462158,5.52269983291626,-198722.346763466,-70499.1666583065
"115",15,188,50,19,NA,NA,146.099304199219,145.414199829102,1.74530005455017,3.41100001335144,15.7526998519897,29.6823997497559,3.74970006942749,-197869.806918054,-65493.3736584252
"116",8,184,50,20,32.0416984558105,0,191.695297241211,188.993301391602,4.27740001678467,5.75699996948242,12.1667003631592,25.1651992797852,5.90420007705688,-192849.76409568,-74427.9477388021
"117",8,191,47,19,31.1000003814697,0,168.472305297852,172.579605102539,3.35319995880127,6.73999977111816,13.3432998657227,21.0265998840332,7.00299978256226,-216181.55345617,-42939.551058697
"118",15,184,50,20,31.9449996948242,0,184.737701416016,183.37190246582,3.87339997291565,5.80030012130737,12.3830003738403,25.3437995910645,5.93370008468628,-192765.700088367,-73997.5688679526
"119",15,190,45,20,46.0172996520996,1.00600004196167,136.524993896484,122.204803466797,0.962999999523163,6.62799978256226,19.0102996826172,30.6179008483887,6.48859977722168,-6497.90845751684,-384986.291093039
"120",15,191,46,21,60.1910018920898,3.1356999874115,207.468307495117,151.697204589844,1.26629996299744,7.70469999313354,17.1326999664307,25.858699798584,7.40630006790161,37530.9672178708,-395656.082822212
"121",15,187,46,20,51.4799995422363,8.21329975128174,151.917694091797,117.410598754883,1.06070005893707,6.84800004959106,18.19700050354,23.9631996154785,6.86679983139038,40910.6782744698,-398109.172528464
"122",15,191,46,21,60.1910018920898,3.1356999874115,207.468307495117,151.697204589844,1.26629996299744,7.70469999313354,17.1326999664307,25.858699798584,7.40630006790161,37530.9825226005,-395659.633996775
"123",15,166,49,24,48.5447006225586,1.00499999523163,136.430694580078,126.214996337891,0.640600025653839,4.70230007171631,18.6026992797852,33.451099395752,4.71420001983643,18918.9108237448,-385998.087613556
"124",2,184,50,20,34.1827011108398,0,188.522003173828,187.166107177734,4.0398998260498,5.76929998397827,12.2707004547119,25.2171993255615,5.8983998298645,-192538.692341689,-74757.5486926669
"125",2,184,50,20,34.1827011108398,0,188.522003173828,187.166107177734,4.0398998260498,5.76929998397827,12.2707004547119,25.2171993255615,5.8983998298645,-192791.926613686,-74607.1832728689
"126",15,181,50,20,34.1803016662598,0,194.382995605469,189.798202514648,4.16569995880127,5.78999996185303,12.0769996643066,25.2740993499756,5.82439994812012,-191586.630261604,-75838.4407086838
"127",7,186,49,18,35.1072998046875,0,148.151000976562,142.675201416016,1.68840003013611,4.45499992370605,16.3700008392334,24.8372993469238,4.62680006027222,-169160.057027727,-111161.854218094
"128",15,187,49,19,36.1609992980957,0,201.013000488281,191.49040222168,2.4216001033783,4.33799982070923,15.9956998825073,24.1222991943359,4.57019996643066,-181919.138587601,-111318.454794297
"129",15,188,49,19,35.168701171875,0,174.975296020508,165.161895751953,2.24860000610352,4.61269998550415,15.8837003707886,22.5883007049561,4.92199993133545,-181448.607219563,-111924.525328783
"130",7,189,50,19,31.1427001953125,0,240.380996704102,227.351593017578,2.38669991493225,2.96630001068115,16.3862991333008,27.5662994384766,3.26889991760254,-183240.992390463,-106882.155925505
"131",5,187,50,19,34.4449996948242,0,203.847702026367,195.443893432617,2.44020009040833,3.9210000038147,16.2472991943359,25.4393005371094,4.15910005569458,-180253.07733356,-109108.441097124
"132",7,148,61,20,14.226300239563,0,262.463714599609,289.859985351562,14.3107995986938,2.08200001716614,10.7523002624512,32.3620986938477,2.19409990310669,-203299.231164608,333595.631233826
"133",15,152,62,20,14.6309995651245,0,304.853698730469,328.690185546875,19.7285995483398,1.26699995994568,10.3477001190186,32.0732002258301,1.44340002536774,-188187.298747608,326317.944803563
"134",15,149,62,20,16.0937004089355,0,300.193298339844,322.023101806641,17.4932994842529,1.50699996948242,11.1192998886108,32.9030990600586,1.69439995288849,-189323.508990559,327381.819095742
"135",7,154,61,20,17.6882991790771,0,293.126312255859,309.893798828125,15.487099647522,1.99399995803833,11.9433002471924,33.2537994384766,2.07480001449585,-189961.075792219,319383.658933138
"136",15,149,62,20,15.8807001113892,0,299.855010986328,322.878692626953,17.6763000488281,1.34500002861023,10.8520002365112,32.779598236084,1.58790004253387,-189802.151647901,327312.129892372
