"","fvegHW90mask","bird90","mammal90","reptile90","aetdec_90m","cwddec_90m","pptdec_90m","pptdjf_90m","pptjja_90m","tmndec_90m","tmxdec_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"16",4,195,48,18,27.6432991027832,0.957300007343292,122.151298522949,126.894798278809,2.33189988136292,5.61630010604858,13.4117002487183,23.7985992431641,5.7701997756958,-199181.564161154,-9140.81201261561
"17",15,191,48,17,26.5963001251221,0.750299990177155,126.637298583984,130.31379699707,2.53999996185303,5.40399980545044,13.0279998779297,24.7807998657227,5.60080003738403,-198123.223727552,-10467.0972286062
"18",15,194,48,19,27.5702991485596,0.919300019741058,122.871299743652,127.366096496582,2.36730003356934,5.67670011520386,13.3402996063232,24.051700592041,5.83720016479492,-198798.868549881,-9628.11703160359
"19",9,190,48,17,26.9759998321533,0.804000020027161,130.01530456543,133.158706665039,2.57139992713928,5.78999996185303,12.726300239563,25.1431999206543,6.0721001625061,-197606.202016695,-10999.796048251
"20",15,138,57,22,23.6502990722656,0,214.632995605469,206.365295410156,6.2487998008728,2.65630006790161,11.6637001037598,31.1119003295898,2.85669994354248,-72685.4535638358,99324.3932892545
"21",2,134,57,20,17.5323009490967,0,206.006301879883,204.47590637207,6.71820020675659,0.0772999972105026,11.0857000350952,31.1280994415283,0.397399991750717,-48058.9901995798,76345.7413357203
"22",7,124,56,17,20.0902996063232,0,229.204299926758,229.270095825195,8.16180038452148,0.485300004482269,11.5937004089355,30.4041996002197,0.508899986743927,-40510.9020520589,84875.2289802115
"23",7,123,56,17,18.5062999725342,0,235.367004394531,234.124694824219,8.34580039978027,-0.240700006484985,10.456000328064,29.1483001708984,-0.268099993467331,-36592.6569612397,85823.9071888905
"24",8,169,49,19,22.5900001525879,0.0577000007033348,127.263000488281,130.359603881836,3.28620004653931,3.4300000667572,12.5552997589111,32.7505989074707,4.05999994277954,-89861.4542551495,84677.0803539325
"25",15,169,49,19,NA,NA,122.383697509766,125.892997741699,3.26810002326965,3.48200011253357,12.5647001266479,32.782600402832,4.11770009994507,-90550.1185627736,84406.7311379532
"26",8,169,49,19,23.6770000457764,0.168300002813339,126.302696228027,129.523895263672,3.2846999168396,3.31870007514954,12.6366996765137,32.6509017944336,3.92309999465942,-90517.9201564463,84729.8515169406
"27",11,169,37,14,22.4067001342773,1.35300004482269,91.1267013549805,99.3135986328125,2.38170003890991,4.05569982528687,12.3800001144409,32.9366989135742,4.73939990997314,-128553.033503994,84956.0729069454
"28",15,171,49,19,NA,NA,122.61499786377,125.859100341797,3.26519989967346,3.51729989051819,12.5369997024536,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"29",15,148,52,18,16.680700302124,0,248.407699584961,232.085693359375,8.62530040740967,3.08170008659363,11.2552995681763,30.5923004150391,3.34419989585876,-307450.852502629,245898.7619187
"30",15,148,55,16,21.7907009124756,0,332.382995605469,297.7041015625,10.5986995697021,4.23299980163574,11.475700378418,28.8150997161865,3.42810010910034,-320858.298199553,239384.273434648
