"","fvegHW90mask","bird90","mammal90","reptile90","aetapr_90m","cwdapr_90m","pptapr_90m","pptdjf_90m","pptjja_90m","tmnapr_90m","tmxapr_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"19",15,168,47,18,113.833702087402,1.99629998207092,58.6432991027832,120.557998657227,3.00430011749268,6.5310001373291,21.7140007019043,34.0620994567871,2.68099999427795,-63526.1907966494,32493.6049503232
"20",7,134,59,16,95.9226989746094,0,108.375297546387,228.721603393555,7.08360004425049,2.82800006866455,14.9366998672485,27.7835998535156,-0.0830999985337257,-23768.6073627495,28008.7596355113
"21",15,192,48,18,109.546699523926,0.443300008773804,45.5979995727539,129.157897949219,2.49559998512268,8.06669998168945,18.9892997741699,24.2124004364014,5.73479986190796,-198447.882203424,-10194.710316367
"22",15,190,47,17,88.9162979125977,18.7169990539551,50.2000007629395,142.013900756836,3.46320009231567,7.75670003890991,17.5209999084473,24.4894008636475,6.79860019683838,-195682.431439365,-12382.9518692386
"23",15,189,47,17,99.6446990966797,9.61870002746582,50.2817001342773,141.807998657227,3.6159999370575,7.62069988250732,17.4493007659912,24.5475997924805,6.72709989547729,-195112.663235061,-12851.1224480169
"24",15,190,48,17,99.6890029907227,11.1676998138428,46.8357009887695,132.285995483398,2.5132999420166,8.05370044708252,18.8502998352051,24.9815998077393,5.98680019378662,-197897.728457886,-10699.3064335315
"25",15,191,48,17,86.7563018798828,23.6203002929688,46.0410003662109,130.31379699707,2.53999996185303,7.99569988250732,19.1243000030518,24.7807998657227,5.60080003738403,-198141.580090165,-10463.3243041476
"26",15,194,48,19,110.49299621582,0.753700017929077,44.9082984924316,127.366096496582,2.36730003356934,8.26270008087158,18.9440002441406,24.051700592041,5.83720016479492,-198798.868549881,-9628.11703160359
"27",15,190,48,17,109.886703491211,0.116700001060963,48.1533012390137,136.21110534668,2.74379992485046,7.95599985122681,18.2047004699707,25.0223999023438,6.48070001602173,-197354.901152897,-11330.4568272587
"28",15,194,48,19,66.331298828125,45.2752990722656,45.8083000183105,129.965301513672,2.53060007095337,8.12469959259033,18.9972991943359,24.6940002441406,5.79360008239746,-198726.671978902,-9216.18251393223
"29",15,191,46,15,113.536697387695,2.91000008583069,36.5102996826172,110.173400878906,1.40840005874634,8.05669975280762,20.9580001831055,29.2574005126953,5.09019994735718,-186381.12775286,-4513.52280791011
"30",15,169,50,19,109.207702636719,5.36899995803833,64.6510009765625,138.755004882812,3.50169992446899,7.57469987869263,20.3353004455566,32.5638008117676,3.6686999797821,-77527.5623515081,87662.91816583
"31",7,125,56,17,96.0572967529297,0,114.647300720215,227.575698852539,8.09440040588379,3.20700001716614,17.8262996673584,30.2371997833252,0.205200001597404,-42444.9492543726,83439.9712554207
"32",9,171,48,19,NA,NA,57.4766998291016,125.892997741699,3.26810002326965,8.03769969940186,21.0300006866455,32.782600402832,4.11770009994507,-90575.9104212657,84429.2469557044
"33",8,169,50,19,99.8399963378906,15.3332996368408,59.793701171875,130.359603881836,3.28620004653931,7.90700006484985,21,32.7505989074707,4.05999994277954,-89739.5906394366,84709.0981924948
"34",8,169,50,19,100.024299621582,15.8556995391846,60.6637001037598,132.050094604492,3.30710005760193,7.71470022201538,20.729700088501,32.6325988769531,3.87660002708435,-89564.8100707849,84818.3532583644
"35",15,170,50,19,100.07430267334,15.5622997283936,61.8619995117188,134.322799682617,3.33829998970032,7.47130012512207,20.4286994934082,32.5050010681152,3.65039992332458,-88952.5138588711,85256.3481060215
"36",15,171,49,19,NA,NA,57.4226989746094,125.859100341797,3.26519989967346,8.10099983215332,21.0457000732422,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"37",8,169,49,19,89.8759994506836,26.4640007019043,59.4822998046875,129.523895263672,3.2846999168396,7.80900001525879,20.7793006896973,32.6509017944336,3.92309999465942,-90517.9201564463,84729.8515169406
"38",15,169,48,19,NA,NA,57.4766998291016,125.892997741699,3.26810002326965,8.03769969940186,21.0300006866455,32.782600402832,4.11770009994507,-90628.9627409798,84340.9033275195
"39",15,143,59,18,91.9142990112305,0,51.1697006225586,158.774002075195,7.62209987640381,4.53599977493286,15.8859996795654,28.8071002960205,1.32539999485016,-231011.178884166,187445.781752502
"40",7,152,56,15,96.3576965332031,0,106.539703369141,257.93798828125,8.91740036010742,5.25570011138916,18.819299697876,29.3936004638672,3.61479997634888,-330807.067713451,250935.909145601
"41",7,157,56,16,99.6362991333008,0,109.417999267578,277.790588378906,10.0240001678467,5.28929996490479,17.7880001068115,27.8416996002197,3.45329999923706,-332206.279336011,239287.403180808
"42",7,146,55,15,99.0893020629883,0,103.024696350098,246.92610168457,7.83960008621216,4.99900007247925,18.8332996368408,29.5041999816895,3.34960007667542,-323979.744849356,254026.75139459
"43",7,155,56,16,97.7799987792969,0,119.922996520996,316.526397705078,9.29500007629395,5.0366997718811,17.7049999237061,28.0272006988525,3.29390001296997,-323614.461500823,229056.985796539
