species,longitude,latitude,combined,Point_X,Point_Y
Ixodes pacificus,-117.817174,33.562948,-117.817174+33.562948,202759.0068,-492299.9785
Ixodes pacificus,-117.817174,33.562948,-117.817174+33.562948,202759.0068,-492299.9785
Ixodes pacificus,-117.817174,33.562948,-117.817174+33.562948,202759.0068,-492299.9785
Ixodes pacificus,-117.817174,33.562948,-117.817174+33.562948,202759.0068,-492299.9785
Ixodes pacificus,-121.012,38.942,-121.012+38.942,-87629.86238,103360.0645
Ixodes pacificus,-121.03611,38.91722,-121.03611+38.91722,-89747.60938,100628.5422
Ixodes pacificus,-121.03611,38.91722,-121.03611+38.91722,-89747.60938,100628.5422
Ixodes pacificus,-120.95694,38.97861,-120.95694+38.97861,-82821.20994,107379.4206
Ixodes pacificus,-121.091,38.819,-121.091+38.819,-94627.6481,89765.47158
Ixodes pacificus,-121.1294,38.7705,-121.1294+38.7705,-98022.36526,84413.97229
Ixodes pacificus,-121.038,39.918,-121.038+39.918,-88693.77112,211834.0405
Ixodes pacificus,-121.0654,38.8818,-121.0654+38.8818,-92328.86809,96720.0235
Ixodes pacificus,-120.952,38.961,-120.952+38.961,-82413.32483,105417.9329
Ixodes pacificus,-121.074,38.991,-121.074+38.991,-92936.64305,108864.9394
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.2744,33.5305,-117.2744+33.5305,253266.9721,-494590.7283
Ixodes pacificus,-117.2744,33.5305,-117.2744+33.5305,253266.9721,-494590.7283
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.2744,33.5305,-117.2744+33.5305,253266.9721,-494590.7283
Ixodes pacificus,-117.2744,33.5305,-117.2744+33.5305,253266.9721,-494590.7283
Ixodes pacificus,-117.2723,33.5498,-117.2723+33.5498,253400.5019,-492446.351
Ixodes pacificus,-117.2744,33.5305,-117.2744+33.5305,253266.9721,-494590.7283
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.2744,33.5305,-117.2744+33.5305,253266.9721,-494590.7283
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-117.27688,33.53405,-117.27688+33.53405,253025.2887,-494203.9537
Ixodes pacificus,-121.1871,38.6493,-121.1871+38.6493,-103198.7171,71004.24488
Ixodes pacificus,-121.1871,38.6493,-121.1871+38.6493,-103198.7171,71004.24488
Ixodes pacificus,-121.311,38.6141,-121.311+38.6141,-114023.3396,67233.79576
Ixodes pacificus,-121.311,38.6141,-121.311+38.6141,-114023.3396,67233.79576
Ixodes pacificus,-121.1871,38.6493,-121.1871+38.6493,-103198.7171,71004.24488
Ixodes pacificus,-121.1871,38.6493,-121.1871+38.6493,-103198.7171,71004.24488
Ixodes pacificus,-121.1871,38.6493,-121.1871+38.6493,-103198.7171,71004.24488
Ixodes pacificus,-121.1828,36.4893,-121.1828+36.4893,-105820.2737,-169084.601
Ixodes pacificus,-121.1828,36.4893,-121.1828+36.4893,-105820.2737,-169084.601
Ixodes pacificus,-117.46526,34.22377,-117.46526+34.22377,233481.0401,-418222.0931
Ixodes pacificus,-117.06849,34.87718,-117.06849+34.87718,267775.4963,-344684.4478
Ixodes pacificus,-116.986059,34.097459,-116.986059+34.097459,278052.9003,-430936.5488
Ixodes pacificus,-116.986059,34.097459,-116.986059+34.097459,278052.9003,-430936.5488
Ixodes pacificus,-117.04645,34.103076,-117.04645+34.103076,272463.9282,-430489.0712
Ixodes pacificus,-121.605,37.651,-121.605+37.651,-141404.1784,-39420.10768
Ixodes pacificus,-120.739472,35.422511,-120.739472+35.422511,-67082.58281,-288007.4337
Ixodes pacificus,-120.739472,35.422511,-120.739472+35.422511,-67082.58281,-288007.4337
Ixodes pacificus,-120.739472,35.422511,-120.739472+35.422511,-67082.58281,-288007.4337
Ixodes pacificus,-120.739472,35.422511,-120.739472+35.422511,-67082.58281,-288007.4337
Ixodes pacificus,-120.47397,35.28844,-120.47397+35.28844,-43071.358,-303051.5252
Ixodes pacificus,-120.47397,35.28844,-120.47397+35.28844,-43071.358,-303051.5252
Ixodes pacificus,-120.880096,35.256882,-120.880096+35.256882,-80010.18485,-306292.4871
Ixodes pacificus,-120.880096,35.256882,-120.880096+35.256882,-80010.18485,-306292.4871
Ixodes pacificus,-122.291,37.439,-122.291+37.439,-202402.2588,-61738.42581
Ixodes pacificus,-122.291,37.439,-122.291+37.439,-202402.2588,-61738.42581
Ixodes pacificus,-122.291,37.439,-122.291+37.439,-202402.2588,-61738.42581
Ixodes pacificus,-122.247,37.361,-122.247+37.361,-198721.1977,-70499.74121
Ixodes pacificus,-122.2387,37.4062,-122.2387+37.4062,-197868.6581,-65493.9486
Ixodes pacificus,-122.2387,37.4062,-122.2387+37.4062,-197868.6581,-65493.9486
Ixodes pacificus,-122.1796,37.3269,-122.1796+37.3269,-192848.6153,-74428.52167
Ixodes pacificus,-122.2387,37.4062,-122.2387+37.4062,-197868.6581,-65493.9486
Ixodes pacificus,-122.45239,37.60495,-122.45239+37.60495,-216180.4042,-42940.12878
Ixodes pacificus,-122.45239,37.60495,-122.45239+37.60495,-216180.4042,-42940.12878
Ixodes pacificus,-122.45239,37.60495,-122.45239+37.60495,-216180.4042,-42940.12878
Ixodes pacificus,-122.178762,37.330788,-122.178762+37.330788,-192764.5513,-73998.14283
Ixodes pacificus,-122.178762,37.330788,-122.178762+37.330788,-192764.5513,-73998.14283
Ixodes pacificus,-122.178762,37.330788,-122.178762+37.330788,-192764.5513,-73998.14283
Ixodes pacificus,-120.07083,34.55138,-120.07083+34.55138,-6496.759545,-384986.825
Ixodes pacificus,-119.5914,34.454532,-119.5914+34.454532,37532.11241,-395656.613
Ixodes pacificus,-119.554731,34.43229,-119.554731+34.43229,40911.82328,-398109.7022
Ixodes pacificus,-119.5914,34.454532,-119.5914+34.454532,37532.11241,-395656.613
Ixodes pacificus,-119.5914,34.454532,-119.5914+34.454532,37532.11241,-395656.613
Ixodes pacificus,-119.5914,34.4545,-119.5914+34.4545,37532.12772,-395660.1641
Ixodes pacificus,-119.5914,34.4545,-119.5914+34.4545,37532.12772,-395660.1641
Ixodes pacificus,-119.7938,34.5421,-119.7938+34.5421,18920.05729,-385998.6199
Ixodes pacificus,-119.7938,34.5421,-119.7938+34.5421,18920.05729,-385998.6199
Ixodes pacificus,-122.176,37.324,-122.176+37.324,-192537.5436,-74758.12258
Ixodes pacificus,-122.1789,37.3253,-122.1789+37.3253,-192790.7778,-74607.75718
Ixodes pacificus,-122.1789,37.3253,-122.1789+37.3253,-192790.7778,-74607.75718
Ixodes pacificus,-122.1789,37.3253,-122.1789+37.3253,-192790.7778,-74607.75718
Ixodes pacificus,-122.176,37.324,-122.176+37.324,-192537.5436,-74758.12258
Ixodes pacificus,-122.164965,37.314475,-122.164965+37.314475,-191585.4815,-75839.01446
Ixodes pacificus,-121.9036,37.0011,-121.9036+37.0011,-169158.9084,-111162.4238
Ixodes pacificus,-121.9036,37.0011,-121.9036+37.0011,-169158.9084,-111162.4238
