"","fvegHW90mask","bird90","mammal90","reptile90","aetmar_90m","cwdmar_90m","pptmar_90m","pptdjf_90m","pptjja_90m","tmnmar_90m","tmxmar_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"134",8,153,55,32,67.2740020751953,13.4610004425049,67.7833023071289,74.5466995239258,11.9054002761841,1.61269998550415,15.3427000045776,30.2140007019043,0.542599976062775,313244.093947241,-482010.961938059
"135",5,152,55,32,66.7146987915039,17.0837001800537,64.5167007446289,70.5056991577148,11.5736999511719,1.84270000457764,15.4289999008179,30.4127998352051,0.770699977874756,313608.952557281,-483176.075139104
"136",15,167,39,14,78.1066970825195,0,96.2983016967773,109.999298095703,2.67779994010925,7.20970010757446,18.5592994689941,33.2672004699707,4.55569982528687,-103199.851483241,71004.8270349354
"137",2,168,38,14,79.0932998657227,0,94.6480026245117,107.957397460938,2.70840001106262,7.19899988174438,18.5897006988525,33.2294006347656,4.55389976501465,-105312.849076574,70950.1829794082
"138",15,145,47,23,70.314697265625,5.97130012512207,121.994003295898,136.669006347656,2.5090000629425,3.70429992675781,15.3292999267578,26.4456005096436,2.95589995384216,-134059.544451036,-138602.008409375
"139",15,146,47,23,74.7693023681641,1.57829999923706,122.746696472168,136.555297851562,2.48699998855591,3.93729996681213,15.4923000335693,26.4491004943848,3.16389989852905,-133898.738363813,-138486.617058243
"140",8,165,58,26,96.7313003540039,16.6653003692627,108.098297119141,129.336196899414,2.73300004005432,7.47100019454956,19.6317005157471,31.2154006958008,6.6729998588562,217745.383532476,-425594.370571817
"141",5,162,57,26,87.6043014526367,24.2357006072998,167.004699707031,189.243301391602,3.88339996337891,6.80970001220703,18.8612995147705,31.922399520874,6.00229978561401,237976.235535332,-416631.766223236
"142",5,168,56,27,79.2863006591797,28.2303009033203,71.1232986450195,88.6163024902344,1.37339997291565,8.13469982147217,21.3677005767822,31.3668003082275,6.48330020904541,212331.114665258,-448585.795232052
"143",15,154,60,24,54.831298828125,1.3967000246048,113.074996948242,135.537292480469,10.4903001785278,-1.28670001029968,12.7976999282837,26.7269992828369,-2.9054000377655,284878.916123357,-431825.965621327
"144",9,150,55,29,81.293701171875,24.7329998016357,152.25830078125,183.319595336914,3.39939999580383,6.60300016403198,19.3589992523193,31.8894004821777,5.98710012435913,233203.643852661,-418228.960780072
"145",8,146,53,28,83.0490036010742,4.0132999420166,221.141998291016,249.289596557617,4.7681999206543,2.28399991989136,15.3633003234863,28.8997001647949,0.770699977874756,226473.857762916,-415073.030350792
"146",2,160,57,33,55.1432991027832,9.70829963684082,134.391998291016,123.771697998047,13.7011003494263,0.644699990749359,12.9207000732422,27.4288997650146,-1.10440003871918,325124.962532233,-553722.780087076
"147",7,162,56,33,82.1626968383789,0.824999988079071,133.111297607422,124.471801757812,10.4706001281738,1.95500004291534,14.5876998901367,28.8572998046875,0.6564000248909,321337.486613335,-557740.649239191
"148",15,170,56,30,55.1730003356934,50.690299987793,56.4933013916016,71.0622024536133,1.43840003013611,7.92700004577637,20.3997001647949,27.5795993804932,6.44789981842041,248904.202494503,-505083.643042874
"149",8,182,56,28,66.8332977294922,38.1733016967773,55.6693000793457,64.6266021728516,1.34280002117157,7.98530006408691,20.3840007781982,26.8071994781494,5.99209976196289,248637.035130084,-520393.007509163
"150",15,158,56,34,64.2173004150391,18.6723003387451,107.697700500488,102.591796875,8.21560001373291,1.6143000125885,16.5930004119873,30.2259998321533,0.864000022411346,324004.080831904,-569331.890226729
"151",15,152,46,24,57.0273017883301,18.5527000427246,59.5460014343262,72.495002746582,1.96159994602203,7.21500015258789,16.6089992523193,30.1457004547119,5.6181001663208,-139988.204185171,-42145.1178080835
"152",2,166,37,14,79.7006988525391,0.78930002450943,87.7990036010742,92.1184005737305,2.09980010986328,6.52430009841919,18.887300491333,33.9199981689453,3.9918999671936,-80882.922204938,22809.4481277862
"153",2,146,44,24,61.1992988586426,17.0272998809814,32.2309989929199,56.7877998352051,1.47679996490479,5.97429990768433,18.1480007171631,30.6679992675781,3.94099998474121,-131454.402483104,-42628.4018753883
"154",2,151,46,24,66.5017013549805,10.0183000564575,44.7843017578125,61.9627990722656,1.79869997501373,7.0922999382019,17.0727005004883,30.7982006072998,5.54169988632202,-136866.47770407,-42135.4682190805
"155",5,187,52,18,87.7429962158203,1.14370000362396,85.1460037231445,118.434196472168,0.990899980068207,6.89429998397827,17.6196994781494,19.0401000976562,5.77869987487793,-97886.2981833408,-271994.891577492
"156",7,187,50,19,75.4437026977539,0.583000004291534,140.70329284668,183.801605224609,2.56769990921021,5.80830001831055,17.4587001800537,28.5711994171143,4.95459985733032,-202403.407772052,-61737.8503379347
"157",15,191,49,18,78.1466979980469,0,90.8877029418945,114.156700134277,1.49989998340607,6.7020001411438,18.7313003540039,27.256799697876,4.91709995269775,-201353.36516652,-57990.8365753163
"158",15,195,51,19,75.3629989624023,0.730300009250641,106.459701538086,135.307205200195,1.69700002670288,5.77600002288818,18.5030002593994,29.1942005157471,4.91209983825684,-201465.700134199,-58327.0600784356
"159",15,194,51,19,75.5323028564453,0.73769998550415,108.287696838379,137.554901123047,1.77009999752045,5.69129991531372,18.4337005615234,29.1979007720947,4.92600011825562,-201734.175743792,-58572.4541646256
"160",15,184,50,20,77.7746963500977,0.702000021934509,152.343002319336,189.613204956055,2.36779999732971,5.79169988632202,18.2063007354736,29.0184001922607,4.42589998245239,-199263.518336759,-66841.3778114198
"161",4,189,47,19,72.904296875,1.80569994449615,116.346702575684,154.133407592773,3.31640005111694,7.58470010757446,15.7119998931885,20.2509994506836,6.95510005950928,-220547.913069914,-49291.9578821384
"162",2,188,50,20,79.2266998291016,0,115.938301086426,148.251205444336,1.7548999786377,5.44229984283447,19.3803005218506,30.1466007232666,3.667799949646,-198157.901952919,-65505.6901046424
"163",15,197,51,19,67.7036972045898,10.6662998199463,98.8332977294922,122.668899536133,1.58120000362396,6.1616997718811,18.3419990539551,27.9004001617432,5.07779979705811,-202356.642799813,-57383.4164133957
"164",15,184,50,20,78.015998840332,0.71069997549057,157.285003662109,197.274002075195,2.5485999584198,5.90000009536743,17.6620006561279,28.496000289917,4.76119995117188,-199395.61120291,-67130.1209816807
