"","fvegHW90mask","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"23",2,159.773300170898,0.71670001745224,51.8889999389648,206.435195922852,6.55830001831055,9.13099956512451,23.5132999420166,31.1499996185303,2.00570011138916,-81839.0269747,121478.781721
"24",2,159.773300170898,0.71670001745224,51.8889999389648,206.435195922852,6.55830001831055,9.13099956512451,23.5132999420166,31.1499996185303,2.00570011138916,-81839.0269747,121478.781721
"25",2,159.773300170898,0.71670001745224,51.8889999389648,206.435195922852,6.55830001831055,9.13099956512451,23.5132999420166,31.1499996185303,2.00570011138916,-81839.0269747,121478.781721
"26",15,43.918701171875,110.50129699707,30.3453006744385,152.966995239258,2.54320001602173,7.00069999694824,24.8612995147705,32.219799041748,0.891099989414215,-243346.597064,114929.36175
"27",15,43.918701171875,110.50129699707,30.3453006744385,152.966995239258,2.54320001602173,7.00069999694824,24.8612995147705,32.219799041748,0.891099989414215,-243346.597064,114929.36175
"28",5,39.2997016906738,115.027000427246,25.1879997253418,149.717193603516,2.61479997634888,8.35000038146973,23.8596992492676,31.3703002929688,1.60179996490479,-234422.167221,108117.502955
"29",15,80.9557037353516,75.1076965332031,42.7700004577637,162.921005249023,4.5366997718811,9.69970035552979,23.9407005310059,31.5083999633789,2.86339998245239,-82821.2099436,107379.420631
"30",15,80.9557037353516,75.1076965332031,42.7700004577637,162.921005249023,4.5366997718811,9.69970035552979,23.9407005310059,31.5083999633789,2.86339998245239,-82821.2099436,107379.420631
"31",7,78.2477035522461,79.0756988525391,41.9173011779785,159.968399047852,4.45419979095459,9.50570011138916,23.7693004608154,31.3068008422852,2.60380005836487,-82330.0627498,105950.626349
"32",8,86.2606964111328,69.0827026367188,62.2070007324219,226.89079284668,7.38180017471313,9.33930015563965,22.895299911499,31.0330009460449,2.71860003471375,-66764.2965477,104021.93699
"33",5,88.4292984008789,69.8106994628906,61.5876998901367,231.919799804688,7.42129993438721,9.05529975891113,22.7129993438721,30.9659004211426,2.5460000038147,-68449.4401279,101199.238351
"34",2,33.7179985046387,125.512001037598,25.5687007904053,121.487602233887,2.4818000793457,9.70400047302246,25.4309997558594,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"35",2,33.7179985046387,125.512001037598,25.5687007904053,121.487602233887,2.4818000793457,9.70400047302246,25.4309997558594,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"36",2,33.7179985046387,125.512001037598,25.5687007904053,121.487602233887,2.4818000793457,9.70400047302246,25.4309997558594,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"37",2,33.7179985046387,125.512001037598,25.5687007904053,121.487602233887,2.4818000793457,9.70400047302246,25.4309997558594,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"38",2,33.7179985046387,125.512001037598,25.5687007904053,121.487602233887,2.4818000793457,9.70400047302246,25.4309997558594,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"39",2,33.7179985046387,125.512001037598,25.5687007904053,121.487602233887,2.4818000793457,9.70400047302246,25.4309997558594,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
