Record,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude
13888,3,165.9967041,1267.926758,173.0299988,21.73489952,13.20320034,13.00669956,25.2166996,36.11159897,4.524799824,451760.8751,-348664.6844
1016,8,318.623291,610.873291,769.2432861,115.5173035,11.68789959,2.226700068,16.49329948,27.51210022,-4.228300095,-124253.4411,374181.1021
2331,7,458.6199951,392.353302,1187.793335,183.3674011,14.79129982,2.296700001,16.98329926,27.42970085,-3.077800035,-147101.916,290272.564
5185,11,306.6366882,981.3067017,497.6632996,89.07620239,2.234100103,9.943300247,23.59670067,33.29470062,4.633900166,-134247.2708,101330.9497
16760,15,276.7467041,1179.063354,355.6600037,71.60870361,2.52489996,11.3732996,24.39669991,31.68510056,7.214300156,249799.1451,-488120.1205
4708,11,398.7666931,873.3167114,577.6500244,102.4761963,3.062599897,9.823300362,24.01670074,33.80690002,4.278800011,-144571.915,135023.3919
8028,1,286.9466858,312.8266907,1014.16333,194.982193,10.3348999,-2.946700096,8.916700363,16.79210091,-9.320099831,95823.81486,-78398.05638
17164,3,98.353302,1444.003296,98.4332962,13.91769981,6.79820013,16.75,30.54669952,40.48609924,7.712900162,487313.5859,-517083.2621
117,3,242.2133026,593.4932861,452.8666992,56.06800079,11.72770023,0.430000007,14.89669991,26.07589912,-5.894000053,-73882.75799,436992.6291
9831,3,98.55329895,1407.273315,107.1800003,17.75769997,4.302400112,10.77670002,26.91670036,38.55189896,1.149700046,224487.9043,-171376.7567
732,7,304.1000061,616.7866821,698.7633057,123.7332001,10.19909954,3.089999914,18.38669968,29.71439934,-2.626699924,-248418.5834,393781.1055
2431,3,179.9232941,626.1300049,407.1733093,66.60980225,8.501399994,-0.109999999,14.46000004,25.68980026,-6.323699951,-42367.07797,285304.9889
8154,2,333.9132996,1045.963257,413.5967102,75.79219818,2.519200087,9.426699638,24.58670044,35.1556015,3.335999966,-783.3188194,-84595.95515
1496,15,363.2633057,459.2232971,1347.123291,239.4284058,14.77289963,3.793299913,16.70000076,27.48329926,-1.683899999,-252788.0363,342238.3089
12969,15,351.9432983,1006.059998,493.0232849,89.53579712,1.019799948,7.986700058,23.4633007,32.64009857,2.724299908,-7500.737503,-310021.9178
6138,2,494.6966858,812.5333252,571.8666992,97.74199677,2.273799896,9.793299675,23.40999985,33.35639954,4.44659996,-84486.17206,38102.35678
4548,15,432.8633118,681.2866821,1123.400024,211.1380005,4.842400074,5.683300018,22.20669937,31.15979958,2.04489994,-281662.6568,144997.4574
14614,7,274.6932983,849.5300293,846.5866699,164.6235962,1.647699952,5.50330019,16.69669914,25.67099953,-0.044100001,75126.84943,-376681.0053
15373,15,401.6433105,1011.41333,575.5900269,120.3308029,1.212900043,10.88329983,23.68330002,28.54640007,7.408699989,71790.1827,-407520.6254
14524,3,103.0999985,1435.533325,102.9633026,14.1157999,7.238599777,14.90999985,30.61000061,41.74470139,5.143599987,409637.5074,-372923.4744
