"","fvegHW90mask","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"1616",15,685.016723632812,402.436706542969,1947.41003417969,322.023101806641,17.4932994842529,7.53329992294312,22.1732997894287,32.9030990600586,1.69439995288849,-189323.508990559,327381.819095742
"1617",15,506.200012207031,645.27001953125,1839.90002441406,315.227386474609,16.755199432373,8.47999954223633,22.3367004394531,32.9542999267578,2.06229996681213,-189639.649594778,319775.761169988
"1618",7,485.273284912109,655.083312988281,1761.73999023438,307.599700927734,14.9137001037598,8.5733003616333,22.8500003814697,33.3942985534668,2.06159996986389,-189823.546350476,319136.108732074
"1619",7,473.516693115234,656.026672363281,1737.13671875,303.82958984375,12.9727001190186,9.39669990539551,22.653299331665,33.1892013549805,2.68630003929138,-195807.332530741,311551.81240546
"1620",15,499.873291015625,672.106689453125,804.443298339844,139.369903564453,8.44130039215088,9.1766996383667,24.0499992370605,34.7196998596191,2.90879988670349,-192289.908228788,274682.450122077
"1621",2,390.209991455078,775.686706542969,1135.32995605469,203.983993530273,10.9472999572754,10.0966997146606,24.3199996948242,34.7928009033203,3.53830003738403,-207087.292463492,290662.015586207
"1622",15,499.873291015625,672.106689453125,804.443298339844,139.369903564453,8.44130039215088,9.1766996383667,24.0499992370605,34.7196998596191,2.90879988670349,-192289.908228788,274682.450122077
"1623",11,388.13330078125,776.109985351562,755.960021972656,130.741806030273,8.00259971618652,9.00329971313477,23.8432998657227,34.3535995483398,2.86389994621277,-190222.13799401,270649.918003414
"1624",15,532.236694335938,647.246704101562,1052.91333007812,187.11360168457,9.7750997543335,9.84669971466064,24.7600002288818,35.5134010314941,3.4899001121521,-201474.82116045,289070.750497432
"1625",15,407.836700439453,764.356689453125,854.390014648438,146.819396972656,9.20139980316162,9.36999988555908,24.0466995239258,34.709400177002,3.03559994697571,-195782.596441338,271643.14959508
"1626",15,418.63330078125,661.869995117188,1821.88330078125,289.859985351562,14.3107995986938,8.14669990539551,21.7299995422363,32.3620986938477,2.19409990310669,-203098.46091739,333708.208224813
"1627",15,474.793304443359,672.003295898438,1758.21997070312,306.033905029297,13.5832996368408,9.2632999420166,22.6399993896484,33.1898002624512,2.56719994544983,-195643.12693351,311912.918409109
"1628",15,374.996704101562,582.940002441406,1419.90673828125,239.910400390625,13.9489002227783,5.08330011367798,20.2299995422363,31.2812995910645,-0.485599994659424,-225712.912031565,295165.091539626
"1629",15,403.286712646484,540.340026855469,1510.71325683594,255.834701538086,14.8471002578735,4.59999990463257,19.5266990661621,30.5468006134033,-1.09409999847412,-226308.440482765,294443.565802131
"1630",15,403.286712646484,540.340026855469,1510.71325683594,255.834701538086,14.8471002578735,4.59999990463257,19.5266990661621,30.5468006134033,-1.09409999847412,-226308.440482765,294443.565802131
"1631",15,437.196685791016,655.423278808594,1340.50329589844,228.575607299805,12.331000328064,7.08330011367798,22.5,33.7583999633789,1.31920003890991,-221962.712116845,296290.293700743
"1632",8,391.11669921875,779.186706542969,1132.47326660156,203.537399291992,10.9092998504639,10.1267004013062,24.3332996368408,34.826099395752,3.57480001449585,-206953.324762818,290505.280722857
"1633",15,247.826705932617,767.946716308594,471.096710205078,65.71240234375,8.95619964599609,2.27670001983643,19.9733009338379,30.9841995239258,-3.36420011520386,-127185.810026408,331181.421302892
"1634",15,418.63330078125,661.869995117188,1821.88330078125,289.859985351562,14.3107995986938,8.14669990539551,21.7299995422363,32.3620986938477,2.19409990310669,-203102.668867098,333708.315335725
"1635",15,917.896728515625,151.520004272461,1929.49670410156,319.764099121094,16.9480991363525,7.62669992446899,22.4500007629395,33.1731986999512,1.82819998264313,-189472.460699974,326822.43077595
"1636",15,479.600006103516,596.88330078125,1934.55004882812,320.484191894531,17.0112991333008,7.62330007553101,22.4132995605469,33.1212997436523,1.81760001182556,-189296.886880595,327093.510196298
"1637",15,528.609985351562,639.446716308594,859.280029296875,148.553695678711,8.9827995300293,9.51000022888184,23.9400005340576,34.548698425293,3.15560007095337,-194570.741595862,270664.642934238
"1638",15,501.386688232422,672.963317871094,812.630004882812,140.887405395508,8.46679973602295,9.20670032501221,24.0632991790771,34.7561988830566,2.93440008163452,-192273.301289957,275202.901722976
"1639",15,418.63330078125,661.869995117188,1821.88330078125,289.859985351562,14.3107995986938,8.14669990539551,21.7299995422363,32.3620986938477,2.19409990310669,-203076.833737383,333697.665221203
"1640",15,418.63330078125,661.869995117188,1821.88330078125,289.859985351562,14.3107995986938,8.14669990539551,21.7299995422363,32.3620986938477,2.19409990310669,-203076.833737383,333697.665221203
"1641",15,418.63330078125,661.869995117188,1821.88330078125,289.859985351562,14.3107995986938,8.14669990539551,21.7299995422363,32.3620986938477,2.19409990310669,-203076.833737383,333697.665221203
"1642",7,450.083312988281,613.820007324219,1917.37670898438,308.904998779297,15.1191997528076,6.4032998085022,22.1067008972168,33.1730995178223,0.791800022125244,-198462.100395936,340949.016565124
"1643",15,398.510009765625,778.22998046875,890.473327636719,151.322296142578,9.23840045928955,9.89330005645752,23.7900009155273,34.4042015075684,3.48909997940063,-182197.676457198,280566.383517693
"1644",15,398.510009765625,778.22998046875,890.473327636719,151.322296142578,9.23840045928955,9.89330005645752,23.7900009155273,34.4042015075684,3.48909997940063,-182197.676457198,280566.383517693
"1645",15,500.483306884766,671.973327636719,809.570007324219,140.453094482422,8.47659969329834,9.19999980926514,24.0566997528076,34.7344017028809,2.92239999771118,-192237.718802035,274754.180726378
