,fvegHW90mask,aet_90m,cwd_90m,ppt_90m,pptdjf_90m,pptjja_90m,tmn_90m,tmx_90m,tmxjja_90m,tmndjf_90m,longitude,latitude,long same,latt same,Both Same?
862,15,495.6066895,727.1566772,970.1867065,190.1591949,2.555900097,7.733300209,23.36669922,31.5720005,3.671900034,-219652.0105,62266.38382,0,0,0
893,7,594.6367188,629.9000244,950.2199707,186.8876953,2.490200043,7.643300056,23.51670074,31.63820076,3.467700005,-219516.7468,62440.70118,0,0,0
879,11,596.4332886,630.4567261,954.2299805,187.3161011,2.541599989,7.596700191,23.55669975,31.68040085,3.393199921,-219507.2858,62796.28405,0,0,0
876,11,594.6367188,629.9000244,950.2199707,186.8876953,2.490200043,7.643300056,23.51670074,31.63820076,3.467700005,-219426.1801,62571.72991,0,0,0
517,15,344.0299988,862.3699951,899.5300293,175.8258972,2.651299953,8.449999809,22.23999977,31.85899925,3.378000021,-218963.0995,93161.28627,0,0,0
680,15,366.7467041,808.7467041,815.2966919,163.6181946,1.771800041,9.109999657,20.54669952,25.80990028,5.709899902,-218939.6011,1708.777599,0,0,0
686,15,365.4432983,813.7033081,798.2866821,160.2539978,1.727200031,9.056699753,20.48670006,25.69910049,5.643000126,-218930.2331,2064.387451,0,0,0
676,15,366.7467041,808.7467041,815.2966919,163.6181946,1.771800041,9.109999657,20.54669952,25.80990028,5.709899902,-218750.1315,1685.106027,0,0,0
849,11,514.3167114,725.460022,937.0233154,185.0594025,2.209300041,7.80670023,23.35330009,31.37360001,3.50880003,-218366.9684,61465.00561,0,0,0
836,15,425.8067017,806.0167236,938.3267212,185.0935974,2.206799984,7.856699944,23.29330063,31.33040047,3.519999981,-218344.2702,61006.26849,0,0,0
494,15,461.0499878,704.2366943,722.3933105,140.5652008,2.440000057,6.163300037,22.96999931,32.60879898,1.003100038,-218296.2904,110099.6804,0,0,0
570,15,507.230011,748.2600098,963.9033203,189.1593933,2.477900028,7.743299961,23.23329926,31.38979912,3.408200026,-217905.4933,63785.17807,0,0,0
661,5,357.3099976,804.9666748,663.4866943,124.7631989,2.284699917,10.11670017,18.08329964,20.33769989,7.211200237,-217795.1599,-17259.49192,0,0,0
685,15,390.3833008,816.8300171,903.5933228,180.0140076,2.025099993,9.430000305,21.16329956,26.92300034,6.379399776,-217463.3206,1136.236042,0,0,0
1732,5,488.9732971,750.9432983,767.0266724,148.0769043,2.376600027,7.396699905,23.17329979,30.39590073,3.658400059,-217136.7559,34356.44043,0,0,0
1325,8,361.1400146,755.1500244,886.6400146,172.5796051,3.353199959,9.366700172,17.92670059,21.02659988,7.002999783,-216181.5535,-42939.55106,0,0,0
730,15,392.8167114,796.6367188,761.7833252,150.9667969,1.756399989,9.340000153,20.2866993,24.90029907,6.128600121,-216089.5684,1154.785725,0,0,0
553,8,350.9632874,819.1433105,1003.156677,195.9978943,2.778300047,8.383299828,21.30669975,31.38769913,3.030800104,-214569.1353,127833.5742,0,0,0
1575,15,502.1499939,614.4633179,1656.849976,289.3096924,13.7361002,8.816699982,23.02000046,34.22700119,2.229799986,-214231.2597,289733.327,0,0,0
820,5,451.6166992,740.0567017,1055.606689,202.3699036,3.257699966,7.913300037,20.54999924,28.92270088,3.927700043,-213182.5837,64932.18023,0,0,0
