"","fvegHW90mask","aetapr_90m","cwdapr_90m","pptapr_90m","pptdjf_90m","pptjja_90m","tmnapr_90m","tmxapr_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"43",15,103.166999816895,6.11299991607666,97.875,217.582992553711,6.7810001373291,6.03369998931885,20.056999206543,32.7891998291016,2.64800000190735,-93868.2977446,143019.58401
"44",15,107.598999023438,0.947700023651123,95.1797027587891,210.918106079102,6.59619998931885,6.10169982910156,20.0433006286621,32.82080078125,2.69219994544983,-94379.1055959,142369.748701
"45",5,99.370002746582,0,74.8416976928711,198.062896728516,4.97009992599487,3.34200000762939,19.548999786377,31.3607006072998,0.565100014209747,-254385.997409,141382.578142
"46",7,77.7182998657227,23.4316997528076,56.5579986572266,205.419799804688,3.49830007553101,5.68100023269653,18.6597003936768,30.8696002960205,3.02029991149902,-224009.254085,133500.379101
"47",8,77.8647003173828,24.8997001647949,56.5223007202148,187.89729309082,1.77479994297028,4.37569999694824,19.7602996826172,31.6390991210938,1.43519997596741,-223347.861524,129548.780377
"48",8,77.8647003173828,24.8997001647949,56.5223007202148,187.89729309082,1.77479994297028,4.37569999694824,19.7602996826172,31.6390991210938,1.43519997596741,-223347.861524,129548.780377
"49",8,77.8647003173828,24.8997001647949,56.5223007202148,187.89729309082,1.77479994297028,4.37569999694824,19.7602996826172,31.6390991210938,1.43519997596741,-223347.861524,129548.780377
"50",8,77.8647003173828,24.8997001647949,56.5223007202148,187.89729309082,1.77479994297028,4.37569999694824,19.7602996826172,31.6390991210938,1.43519997596741,-223347.861524,129548.780377
"51",8,69.024299621582,35.9496994018555,60.2262992858887,195.997894287109,2.77830004692078,5.22069978713989,18.6683006286621,31.3876991271973,3.03080010414124,-214567.993825,127832.982935
"52",8,69.024299621582,35.9496994018555,60.2262992858887,195.997894287109,2.77830004692078,5.22069978713989,18.6683006286621,31.3876991271973,3.03080010414124,-214567.993825,127832.982935
"53",8,69.024299621582,35.9496994018555,60.2262992858887,195.997894287109,2.77830004692078,5.22069978713989,18.6683006286621,31.3876991271973,3.03080010414124,-214567.993825,127832.982935
"54",8,69.024299621582,35.9496994018555,60.2262992858887,195.997894287109,2.77830004692078,5.22069978713989,18.6683006286621,31.3876991271973,3.03080010414124,-214567.993825,127832.982935
"55",8,69.024299621582,35.9496994018555,60.2262992858887,195.997894287109,2.77830004692078,5.22069978713989,18.6683006286621,31.3876991271973,3.03080010414124,-214567.993825,127832.982935
"56",8,69.024299621582,35.9496994018555,60.2262992858887,195.997894287109,2.77830004692078,5.22069978713989,18.6683006286621,31.3876991271973,3.03080010414124,-214567.993825,127832.982935
"57",8,64.060302734375,43.8897018432617,62.8287010192871,202.715393066406,2.1256000995636,5.52400016784668,18.3717002868652,30.4333992004395,2.93289995193481,-227388.281882,126077.774209
"58",8,64.060302734375,43.8897018432617,62.8287010192871,202.715393066406,2.1256000995636,5.52400016784668,18.3717002868652,30.4333992004395,2.93289995193481,-227392.250794,126081.108747
"59",2,110.463302612305,0,70.992301940918,188.418899536133,4.00719976425171,6.39099979400635,20.0842990875244,28.8421001434326,3.91280007362366,-300203.733974,123508.714487
"60",15,84.8223037719727,29.0109996795654,91.1399993896484,203.739807128906,6.44540023803711,5.71000003814697,19.3533000946045,31.7028999328613,2.19519996643066,-81461.6134876,121981.844958
"61",15,78.3632965087891,28.1623001098633,46.4622993469238,152.966995239258,2.54320001602173,4.06430006027222,20.1916999816895,32.219799041748,0.891099989414215,-243329.668672,114925.301075
"62",15,78.3632965087891,28.1623001098633,46.4622993469238,152.966995239258,2.54320001602173,4.06430006027222,20.1916999816895,32.219799041748,0.891099989414215,-243329.668672,114925.301075
"63",15,78.3632965087891,28.1623001098633,46.4622993469238,152.966995239258,2.54320001602173,4.06430006027222,20.1916999816895,32.219799041748,0.891099989414215,-243329.668672,114925.301075
"64",15,78.3632965087891,28.1623001098633,46.4622993469238,152.966995239258,2.54320001602173,4.06430006027222,20.1916999816895,32.219799041748,0.891099989414215,-243329.668672,114925.301075
"65",15,105.571701049805,4.68499994277954,76.7242965698242,162.921005249023,4.5366997718811,6.55429983139038,19.3199996948242,31.5083999633789,2.86339998245239,-82821.2099436,107379.420631
"66",15,105.571701049805,4.68499994277954,76.7242965698242,162.921005249023,4.5366997718811,6.55429983139038,19.3199996948242,31.5083999633789,2.86339998245239,-82821.2099436,107379.420631
"67",15,89.8862991333008,20.5337009429932,31.6487007141113,116.098197937012,2.49110007286072,5.44369983673096,21.8490009307861,33.9875984191895,1.85759997367859,-202874.847069,107178.314675
"68",2,77.6483001708984,31.1583003997803,78.61669921875,162.678695678711,4.74420022964478,6.35599994659424,20.44700050354,32.6627998352051,2.54509997367859,-78448.7106696,104614.24536
"69",15,106.352996826172,0,43.2290000915527,149.714904785156,2.63369989395142,3.87229990959167,19.9057006835938,31.8118000030518,0.158800005912781,-224542.636636,102456.516306
"70",15,106.352996826172,0,43.2290000915527,149.714904785156,2.63369989395142,3.87229990959167,19.9057006835938,31.8118000030518,0.158800005912781,-224542.636636,102456.516306
"71",15,106.352996826172,0,43.2290000915527,149.714904785156,2.63369989395142,3.87229990959167,19.9057006835938,31.8118000030518,0.158800005912781,-224542.636636,102456.516306
"72",15,106.352996826172,0,43.2290000915527,149.714904785156,2.63369989395142,3.87229990959167,19.9057006835938,31.8118000030518,0.158800005912781,-224542.636636,102456.516306
"73",15,72.9626998901367,33.6273002624512,32.5209999084473,118.42130279541,2.48090004920959,5.86429977416992,21.3052997589111,32.9253997802734,2.41939997673035,-201374.394261,102327.227034
"74",15,72.9626998901367,33.6273002624512,32.5209999084473,118.42130279541,2.48090004920959,5.86429977416992,21.3052997589111,32.9253997802734,2.41939997673035,-201374.394261,102327.227034
"75",15,72.9626998901367,33.6273002624512,32.5209999084473,118.42130279541,2.48090004920959,5.86429977416992,21.3052997589111,32.9253997802734,2.41939997673035,-201374.394261,102327.227034
"76",2,117.64330291748,0,56.1016998291016,126.88639831543,3.24340009689331,8.1702995300293,20.8663005828857,32.657398223877,4.03630018234253,-100812.509562,100718.019401
"77",15,68.814697265625,41.5519981384277,51.6106986999512,175.825897216797,2.65129995346069,6.09630012512207,19.6783008575439,31.8589992523193,3.37800002098083,-218961.956232,93160.6975116
"78",9,111.956703186035,4.90999984741211,29.9113006591797,102.97200012207,2.07629990577698,6.76599979400635,22.2616996765137,33.7747001647949,3.02320003509521,-189489.357012,92794.2244236
"79",15,66.9317016601562,45.3889999389648,52.3917007446289,179.516006469727,2.63980007171631,5.32730007171631,19.8567008972168,31.8855991363525,2.22420001029968,-222375.737345,92679.5982302
"80",2,66.5199966430664,44.5800018310547,34.1967010498047,121.487602233887,2.4818000793457,6.2996997833252,20.4300003051758,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"81",2,66.5199966430664,44.5800018310547,34.1967010498047,121.487602233887,2.4818000793457,6.2996997833252,20.4300003051758,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"82",2,66.5199966430664,44.5800018310547,34.1967010498047,121.487602233887,2.4818000793457,6.2996997833252,20.4300003051758,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"83",2,66.5199966430664,44.5800018310547,34.1967010498047,121.487602233887,2.4818000793457,6.2996997833252,20.4300003051758,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"84",2,66.5199966430664,44.5800018310547,34.1967010498047,121.487602233887,2.4818000793457,6.2996997833252,20.4300003051758,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"85",2,66.5199966430664,44.5800018310547,34.1967010498047,121.487602233887,2.4818000793457,6.2996997833252,20.4300003051758,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
"86",2,66.5199966430664,44.5800018310547,34.1967010498047,121.487602233887,2.4818000793457,6.2996997833252,20.4300003051758,32.2186012268066,3.57870006561279,-194487.713568,92721.9603803
