"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","tmxjja","pptdjf","fvegrec","mam","brd","rep"
"background",-160814.960042,440112.007169,208.986999511719,633.713012695312,382.679992675781,-0.0833000019192696,15.8966999053955,26.6735992431641,51.165599822998,11,60,152,16
"background",-70181.7653122,440230.804074,263.592987060547,558.697021484375,489.076995849609,0.353300005197525,14.5799999237061,25.6177005767822,63.2650985717773,1,58,182,12
"background",-133344.426822,440261.488079,245.977005004883,606.413024902344,286.31298828125,-0.173299998044968,16.3332996368408,27.2245998382568,31.3966007232666,11,56,162,13
"background",-28091.9197993,440144.906192,-9999,-9999,459.4169921875,0.786700010299683,15.6400003433228,26.9603004455566,53.9924011230469,9,55,170,12
"background",-99081.9254581,440315.059202,210.393005371094,632.570007324219,371.143005371094,0.896700024604797,15.4399995803833,26.62619972229,41.519401550293,7,56,158,13
"background",-347998.828839,439949.388186,-9999,-9999,1819.44995117188,7.9032998085022,15.9799995422363,19.0809993743896,281.305999755859,2,61,176,16
"background",-242774.628403,440272.165033,410.076995849609,461.277008056641,992.216979980469,4.67670011520386,14.3199996948242,23.826099395752,153.567993164062,7,62,136,17
"background",-51901.8449214,440196.748976,276.369995117188,491.683013916016,559.546997070312,0.740000009536743,13.1599998474121,23.8293991088867,75.1063003540039,3,58,184,12
"background",-298139.52833,439501.167084,408.247009277344,309.796997070312,2439.94995117188,3.35999989509583,13.7033004760742,22.8820991516113,387.139007568359,1,64,126,16
"background",-10585.4380765,439535.639307,291.542999267578,288.127014160156,1221.9599609375,-2.13000011444092,9.61330032348633,20.074800491333,166.832000732422,7,68,139,10
"background",-194576.063045,439884.334618,301.279998779297,658.986999511719,556,3.45329999923706,17.6632995605469,28.6840991973877,79.6169967651367,2,61,156,18
"background",-4755.12397841,439437.24015,250.503005981445,519.599975585938,660.653015136719,0.25670000910759,13.4467000961304,24.4731006622314,89.2807006835938,4,58,137,13
"background",-91800.0933897,439317.342077,225.432998657227,642.52001953125,366.286987304688,0.469999998807907,15.8999996185303,27.5832996368408,37.0527992248535,3,56,162,13
"background",-338590.315913,439277.697774,682.380004882812,248.279998779297,2574.8798828125,6.79670000076294,17.0632991790771,23.0482006072998,414.700012207031,7,60,156,16
"background",-149348.756019,439361.756846,-9999,-9999,282.773010253906,-0.259999990463257,15.8832998275757,26.5603008270264,35.6683006286621,3,56,162,13
