"background","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"background",-215845.309688,325639.388495,81.7446975708008,5.39669990539551,139.927001953125,3.09529995918274,15.1653003692627,7,60,152,18
"background",-189755.015986,324993.351459,98.9300003051758,0,156.593002319336,5.41970014572144,19.2362995147705,6,61,149,20
"background",-46340.2345975,323921.784331,40.0297012329102,11.6147003173828,24.8859996795654,-2.17899990081787,12.9259996414185,11,50,138,12
"background",-21596.8472815,322952.8,40.668701171875,9.49829959869385,25.7040004730225,-2.2172999382019,12.6363000869751,3,56,147,12
"background",-331216.911206,322677.612737,89.9609985351562,0,132.559997558594,4.44329977035522,15.6750001907349,2,61,147,15
"background",-87088.3727095,322169.982766,60.8013000488281,8.5496997833252,42.5696983337402,-0.157700002193451,13.4940004348755,7,58,164,12
"background",-150397.325551,321602.066129,79.9682998657227,0,128.757995605469,1.67999994754791,14.6520004272461,7,67,138,19
"background",-254395.543486,320950.604473,61.3199996948242,2.87199997901917,81.9943008422852,1.08669996261597,13.6913003921509,7,62,134,19
"background",-324294.358652,321004.104846,85.5007019042969,0.216700002551079,166.942001342773,3.08500003814697,15.3382997512817,7,60,150,15
"background",-163419.744383,318346.79673,94.8722991943359,0,134.386993408203,4.79729986190796,18.7812995910645,7,63,149,20
"background",-108784.353655,318218.220333,69.5056991577148,0.337000012397766,47.8577003479004,0.372299998998642,12.9707002639771,1,63,174,12
"background",-19251.0330392,318167.715934,45.5789985656738,5.98530006408691,24.1669998168945,-2.15930008888245,12.9677000045776,3,53,139,12
"background",-26655.3198306,317473.221588,46.298999786377,7.56969976425171,22.7103004455566,-2.15269994735718,13.2006998062134,3,52,140,12
"background",-138600.697944,316135.582366,74.2330017089844,0,91.7276992797852,0.679300010204315,14.4036998748779,5,65,141,15
"background",-68040.3891776,315632.351503,37.4726982116699,0,41.6609992980957,-2.46770000457764,11.4677000045776,3,58,165,12
"background",-154208.233964,315433.253573,74.8712997436523,0,148.410003662109,1.27300000190735,14.0066995620728,7,66,137,19
"background",-297983.910852,314334.15996,78.1780014038086,3.15599989891052,100.378997802734,2.53600001335144,15.8052997589111,6,64,142,18
"background",-254259.446667,314210.158109,49.3022994995117,0,98.0213012695312,-0.228300005197525,12.331000328064,6,61,134,16
"background",-54545.2571308,314343.413551,49.2890014648438,2.58769989013672,27.1916999816895,-2.04329991340637,12.769700050354,10,50,149,12
"background",-256177.500515,313935.793264,65.5626983642578,0.687699973583221,90.2990036010742,0.959999978542328,13.9413003921509,7,62,138,19
"background",-181427.119822,312780.675101,98.536003112793,5.74069976806641,136.578994750977,6.730299949646,20.1639995574951,8,62,163,20
"background",-272050.691535,312447.876663,70.7713012695312,14.1129999160767,80.9909973144531,2.12669992446899,17.5443000793457,7,63,142,18
"background",-25600.1112035,312282.229776,39.1910018920898,11.4289999008179,22.4617004394531,-2.19370007514954,12.6256999969482,3,53,140,12
"background",-18317.0395859,311065.784287,50.2290000915527,4.48769998550415,24.2560005187988,-1.84430003166199,13.1153001785278,3,53,139,12
"background",-279977.800498,310259.605753,70.9160003662109,18.5487003326416,72.9260025024414,3.2606999874115,19.7737007141113,7,64,143,18
"background",-272089.499656,309443.215183,69.1522979736328,15.6642999649048,68.7387008666992,2.35430002212524,18.3882999420166,7,63,141,18
"background",-296308.517759,308998.695626,76.9786987304688,0,106.849998474121,1.78569996356964,14.7713003158569,6,62,142,18
"background",-251925.845703,308084.155388,77.774299621582,2.53069996833801,76.1287002563477,1.80999994277954,15.4930000305176,7,62,144,19
"background",-41688.1835737,307858.802084,31.1060009002686,0.0973000004887581,28.7940006256104,-3.02069997787476,10.9226999282837,3,56,152,12
"background",-76403.2792962,303791.825699,30.9272994995117,0.0179999992251396,51.8956985473633,-2.76300001144409,10.7943000793457,7,65,154,12
"background",-7033.85457825,302499.915212,49.380298614502,2.80100011825562,22.6632995605469,-1.6467000246048,12.4890003204346,3,56,135,16
"background",-208955.177106,302238.863988,92.4272994995117,10.0193004608154,143.798004150391,5.97469997406006,19.1093006134033,7,59,156,20
"background",-272990.243824,300412.941795,56.942699432373,2.49600005149841,93.5770034790039,0.286700010299683,12.9937000274658,7,63,140,18
"background",-100106.254322,300127.368832,40.9420013427734,0.699000000953674,46.524299621582,-2.87170004844666,12.2187004089355,1,71,145,12
