"","fvegHW90mask","bird90","mammal90","reptile90","aet_90m","cwd_90m","ppt_90m","pptdjf_90m","pptjja_90m","tmn_90m","tmx_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"13166",11,140,36,17,177.016693115234,1333.98327636719,176.623306274414,28.1060009002686,0.839800000190735,11.7200002670288,26.2033004760742,36.2915992736816,4.35200023651123,104857.080204,-318498.240574
"13167",3,83,35,30,185.753295898438,1189.99670410156,203.726699829102,24.69700050354,16.0851001739502,10.1667003631592,23.0433006286621,33.8664016723633,2.08780002593994,429826.669394,-318695.656946
"13168",8,153,47,19,319.743286132812,1043.88000488281,524.039978027344,97.7363967895508,1.16170001029968,7.15000009536743,23.8367004394531,28.7737998962402,2.9316999912262,-33335.3661189,-318818.349295
"13169",3,91,46,27,217.389999389648,1253.76330566406,228.523300170898,42.3466987609863,3.41529989242554,9.90330028533936,22.6067008972168,32.8219985961914,2.6528000831604,164922.078779,-318595.975117
"13170",3,81,34,29,186.779998779297,1230.18664550781,193.393295288086,24.465799331665,14.2913999557495,11.2799997329712,24.61669921875,35.4043998718262,2.4695999622345,446491.381614,-318837.125706
"13171",5,103,34,27,127.293296813965,1335.48999023438,138.206695556641,26.8551998138428,2.2221999168396,9.1899995803833,25.5900001525879,35.9010009765625,0.546899974346161,184994.03632,-319063.721738
"13172",3,96,33,26,117.316703796387,1393.06335449219,121.283302307129,24.1991004943848,1.79270005226135,10.5600004196167,24.8299999237061,35.2318992614746,3.17790007591248,217596.079072,-319387.847802
"13173",11,136,38,16,146.903305053711,1352.58996582031,144.086700439453,22.449800491333,0.441000014543533,11.2467002868652,25.8799991607666,35.7947006225586,3.89759993553162,87608.0937582,-319356.279538
"13174",3,77,35,29,150.986694335938,1350.33996582031,156.433303833008,25.4340991973877,6.7234001159668,11.1866998672485,23.4799995422363,34.2438011169434,3.59890007972717,278956.328829,-319413.227022
"13175",2,119,52,23,271.290008544922,1035.07995605469,300.100006103516,54.4929008483887,4.14370012283325,6.0967001914978,19.9633007049561,29.2870998382568,0.102700002491474,147067.474372,-319092.965037
"13176",8,140,50,20,404.426696777344,1040.07666015625,647.686706542969,121.054801940918,1.23259997367859,9.10999965667725,23.5799999237061,32.8051986694336,3.52530002593994,-8153.74882171,-319055.308596
"13177",3,78,34,31,84.2399978637695,1477.69995117188,87.1600036621094,10.3010997772217,9.11639976501465,12.4766998291016,30.2667007446289,41.9012985229492,1.60539996623993,360852.028899,-319092.89019
"13178",3,96,35,28,135.313293457031,1422.99328613281,136.663299560547,22.8430995941162,6.0327000617981,11.4632997512817,24.5233001708984,35.1422004699707,4.1697998046875,266191.130831,-319484.211573
"13179",3,89,41,30,159.533294677734,1341.99328613281,163.610000610352,20.4253005981445,10.0934000015259,11.8566999435425,27.1033000946045,38.3686981201172,2.53139996528625,398279.69517,-319569.18125
