"","fvegHW90mask","bird90","mammal90","reptile90","aetnov_90m","cwdnov_90m","pptnov_90m","pptdjf_90m","pptjja_90m","tmnnov_90m","tmxnov_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"31",15,198,42,14,32.9210014343262,6.49230003356934,105.428001403809,160.253997802734,1.72720003128052,7.71500015258789,17.4799995422363,25.6991004943848,5.64300012588501,-218930.23313721,2064.3874508366
"32",7,124,61,17,31.3423004150391,6.47800016403198,98.5323028564453,186.466796875,4.7878999710083,1.69869995117188,15.0107002258301,28.5170001983643,-0.432900011539459,30955.9407053067,-53532.2259743037
"33",15,167,50,17,37.1063003540039,9.85429954528809,90.5753021240234,152.963104248047,3.51620006561279,4.01800012588501,17.3600006103516,32.3763999938965,1.52890002727509,3434.25318830116,-57390.625348316
"34",15,124,64,17,26.9990005493164,5.24870014190674,106.605003356934,174.001907348633,4.96960020065308,1.15269994735718,13.9352998733521,28.8204002380371,-1.09599995613098,25183.1141557808,-32518.9219982624
"35",5,121,64,17,16.440299987793,2.1710000038147,110.788696289062,176.233200073242,5.67180013656616,0.634299993515015,12.5006999969482,26.7679996490479,-2.07940006256104,31083.383497387,-33254.9686487531
"36",15,124,64,17,26.9990005493164,5.24870014190674,106.605003356934,174.001907348633,4.96960020065308,1.15269994735718,13.9352998733521,28.8204002380371,-1.09599995613098,25272.2792303895,-32518.318949997
"37",5,148,56,18,26.5627002716064,1.43570005893707,140.085693359375,199.446899414062,5.01590013504028,1.95000004768372,15.3699998855591,32.3880004882812,0.487399995326996,-277961.633717057,202223.62208377
"38",7,150,54,18,27.9860000610352,0.934300005435944,170.541305541992,239.018402099609,5.66660022735596,1.92429995536804,15.5780000686646,27.6226997375488,0.70880001783371,-289472.529431346,160264.944687516
"39",15,153,49,19,31.257999420166,12.0539999008179,59.793701171875,107.764099121094,0.622699975967407,2.58669996261597,20.1429996490479,33.0182991027832,1.23909997940063,-131695.105721014,-193280.933142896
"40",8,156,52,18,35.5696983337402,2.59299993515015,173.542007446289,225.546005249023,4.01429986953735,6.3769998550415,15.0443000793457,28.5624008178711,4.16260004043579,-257655.978173333,102760.307649512
"41",15,171,46,17,32.1327018737793,5.56230020523071,111.275001525879,185.093597412109,2.20679998397827,5.42070007324219,18.2513008117676,31.3304004669189,3.51999998092651,-218344.27020703,61006.2684907722
"42",5,172,44,15,31.8987007141113,6.86469984054565,85.193000793457,132.920394897461,2.30139994621277,6.20329999923706,18.4883003234863,28.612699508667,4.2613000869751,-196822.468725915,31621.3038605591
"43",11,171,46,17,32.6160011291504,5.7846999168396,110.905700683594,185.05940246582,2.20930004119873,5.37930011749268,18.350700378418,31.3736000061035,3.50880002975464,-218366.968351471,61465.0056076138
"44",7,174,47,18,34.065299987793,5.40899991989136,126.643997192383,198.649398803711,3.04809999465942,5.94029998779297,15.693699836731,29.3383007049561,3.92000007629395,-212578.63082879,63370.9741489333
"45",7,177,45,18,34.4737014770508,3.41770005226135,162.75700378418,239.759704589844,4.76940011978149,5.87230014801025,15.4300003051758,28.0876007080078,3.92969989776611,-225970.637471721,73834.9780327501
"46",5,191,54,24,27.5463008880615,45.9202995300293,26.5137004852295,55.0220985412598,1.03620004653931,10.25,21.483699798584,24.2959995269775,7.93340015411377,202528.610127484,-492132.636478003
"47",2,191,54,24,27.8673000335693,45.3227005004883,26.6959991455078,56.3202018737793,1.02530002593994,10.0697002410889,21.9377002716064,25.4367008209229,7.86159992218018,202856.906074096,-492225.993726569
"48",2,191,54,24,27.8673000335693,45.3227005004883,26.6959991455078,56.3202018737793,1.02530002593994,10.0697002410889,21.9377002716064,25.4367008209229,7.86159992218018,202757.872908671,-492299.469569618
"49",15,173,48,19,33.5906982421875,4.84630012512207,107.319000244141,150.062103271484,3.97790002822876,6.01569986343384,16.6103000640869,32.668701171875,3.63289999961853,-91070.7795489332,97729.1879001916
"50",2,140,55,22,36.3740005493164,2.31970000267029,150.561996459961,206.435195922852,6.55830001831055,4.27229976654053,15.9336996078491,31.1499996185303,2.00570011138916,-81840.1574818384,121479.367192432
"51",15,171,47,19,34.4986991882324,3.58570003509521,118.720001220703,157.295806884766,4.29759979248047,5.20800018310547,17.0552997589111,31.7872009277344,2.91540002822876,-93660.3212101659,114553.582002226
"52",5,170,47,19,34.4342994689941,2.84730005264282,126.299697875977,175.126098632812,4.73859977722168,4.81869983673096,16.4573001861572,31.4237003326416,2.54530000686646,-88864.4475529399,109161.848669244
"53",5,162,61,30,32.2126998901367,39.5989990234375,36.1147003173828,80.8274002075195,4.8600001335144,6.53700017929077,21.3390007019043,34.2112998962402,4.43599987030029,279444.565646585,-449542.909321127
"54",15,170,55,31,27.5172996520996,47.8160018920898,27.7723007202148,83.4700012207031,2.28889989852905,9.79370021820068,21.5256996154785,31.5531997680664,7.44509983062744,253024.160286554,-494203.448071509
"55",15,170,55,31,27.3337001800537,47.2163009643555,27.6263008117676,83.5419998168945,2.26640009880066,9.73499965667725,21.600700378418,31.6529006958008,7.417799949646,253265.843665217,-494590.222777359
"56",7,153,56,36,32.8549995422363,21.5060005187988,51.3400001525879,96.6763000488281,14.0930995941162,2.57030010223389,17.5016994476318,29.7751998901367,0.0829000025987625,307090.250566498,-479731.760865975
"57",15,167,39,14,32.092700958252,7.40729999542236,70.5672988891602,109.999298095703,2.67779994010925,6.69570016860962,17.5937004089355,33.2672004699707,4.55569982528687,-103199.851483241,71004.8270349354
"58",15,146,47,23,35.898998260498,8.84869956970215,92.0962982177734,136.456893920898,2.48420000076294,5.24200010299683,17.2353000640869,26.5319004058838,3.06469988822937,-133987.877861061,-138485.204281257
"59",5,165,59,24,14.2836999893188,11.5590000152588,44.8316993713379,102.921997070312,12.9209995269775,-3.54200005531311,12.1556997299194,26.4204006195068,-6.03189992904663,284444.336555332,-414464.106843831
"60",15,150,55,29,41.6510009765625,27.6889991760254,69.861701965332,183.262893676758,3.39910006523132,8.70670032501221,20.4843006134033,31.8894004821777,5.99289989471436,233479.914059372,-418221.577210861
"61",5,187,52,18,35.2809982299805,18.262300491333,53.3619995117188,118.434196472168,0.990899980068207,7.32730007171631,19.2203006744385,19.0401000976562,5.77869987487793,-97886.2981833408,-271994.891577492
"62",5,192,49,18,34.8726997375488,22.600700378418,46.1043014526367,101.501998901367,1.18929994106293,7.43100023269653,20.6389999389648,23.4197006225586,5.62960004806519,-67548.9221966228,-298411.418023463
"63",8,183,50,20,38.7307014465332,7.17929983139038,119.494697570801,192.204803466797,3.89669990539551,8.22369956970215,17.6772994995117,26.8603992462158,5.52269983291626,-198722.346763466,-70499.1666583065
"64",15,180,47,19,32.9502983093262,33.6829986572266,38.9712982177734,99.4030990600586,1.08120000362396,7.81899976730347,20.9246997833252,23.5552005767822,6.00269985198975,-21759.8233286805,-391995.57953049
"65",15,167,49,24,33.0903015136719,33.0507011413574,41.5382995605469,126.829597473145,0.639900028705597,6.54099988937378,22.2943000793457,33.5256004333496,4.58459997177124,19358.1259155862,-385464.392092072
"66",15,188,50,19,37.8266983032227,6.32030010223389,136.333297729492,230.404998779297,2.44339990615845,4.39769983291626,19.7600002288818,27.914400100708,3.25909996032715,-183836.027065124,-106284.814411222
"67",7,189,50,19,38.9492988586426,7.05030012130737,129.014297485352,214.000106811523,2.47989988327026,5.06069993972778,19.1756992340088,26.4839000701904,3.82220005989075,-181383.854078401,-107927.887062389
"68",7,154,61,20,30.2119998931885,0.224999994039536,209.9873046875,309.893798828125,15.487099647522,4.74170017242432,15.8292999267578,33.2537994384766,2.07480001449585,-189961.075792219,319383.658933138
"69",2,147,44,16,25.7049999237061,3.98699998855591,82.1009979248047,121.910697937012,7.41569995880127,4.34700012207031,17.1077003479004,34.1526985168457,2.74460005760193,-188623.283366178,266046.74334212
"70",7,118,56,18,20.7092990875244,0.314000010490417,197.954299926758,272.651306152344,10.9476003646851,0.200299993157387,13.6606998443604,30.3418998718262,-1.34879994392395,-71013.8347904171,171771.910533591
"71",15,174,46,15,33.6096992492676,4.95270013809204,110.80069732666,169.436294555664,2.63220000267029,5.75029993057251,18.5536994934082,27.7320003509521,4.01999998092651,-231239.015365265,51217.9817742268
"72",7,164,53,17,38.0870018005371,2.66370010375977,178.711700439453,285.076690673828,3.57879996299744,6.28229999542236,17.2143001556396,27.363899230957,4.4109001159668,-261895.088144952,62498.325349974
"73",15,123,58,19,38.2966995239258,13.3477001190186,77.2703018188477,124.720802307129,6.64219999313354,5.33129978179932,17.6763000488281,33.2206001281738,2.56520009040833,108366.906831482,-166134.3628333
"74",8,126,58,19,39.8717002868652,16.9640007019043,76.274299621582,124.042297363281,6.41120004653931,5.30730009078979,17.4029998779297,32.9592018127441,2.49489998817444,105881.728532276,-166103.520422797
"75",15,142,55,20,35.4280014038086,6.11670017242432,98.1940002441406,157.541305541992,3.73370003700256,3.53800010681152,16.6229991912842,32.1478996276855,1.47130000591278,-35085.6983264228,2299.01017116848
"76",8,186,48,21,32.6537017822266,36.3162994384766,38.5452995300293,96.2276992797852,0.819100022315979,7.92500019073486,21.3817005157471,26.3516006469727,6.2121000289917,71178.3669395017,-413303.577916129
"77",5,185,50,19,30.5867004394531,36.0367012023926,34.6829986572266,81.1080017089844,0.780099987983704,8.67070007324219,21.3936996459961,23.2714004516602,6.8814001083374,70437.2776386589,-416595.091748525
"78",15,146,47,17,25.8047008514404,6.19999980926514,70.8042984008789,118.42130279541,2.48090004920959,4.44329977035522,17.7187004089355,32.9253997802734,2.41939997673035,-201375.535701944,102327.815767926
"79",2,144,46,17,30.047700881958,7.90129995346069,74.8462982177734,121.487602233887,2.4818000793457,5.70599985122681,16.6676998138428,32.2186012268066,3.57870006561279,-194488.854841785,92722.5480787139
"80",8,144,44,17,28.6770000457764,8.30329990386963,71.9022979736328,124.673599243164,3.24079990386963,5.23299980163574,17.5983009338379,33.4119987487793,3.04489994049072,-207594.075438526,138959.929163356
