"","fvegHW90mask","bird90","mammal90","reptile90","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"11",15,189,48,17,31.1837005615234,115.856300354004,24.6940002441406,138.433197021484,2.77740001678467,9.5600004196167,19.9752998352051,24.8239002227783,6.84100008010864,-197123.143661087,-10595.369054873
"12",2,190,48,17,45.2237014770508,98.7730026245117,26.3262996673584,141.555603027344,3.17170000076294,9.35669994354248,19.6797008514404,24.6506996154785,6.83279991149902,-195854.824010591,-11494.876327686
"13",15,190,47,17,45.9163017272949,97.5336990356445,26.8483009338379,142.013900756836,3.46320009231567,9.02600002288818,19.6362991333008,24.4894008636475,6.79860019683838,-195682.431439365,-12382.9518692386
"14",15,194,48,19,28.8836994171143,121.273002624512,23.0916996002197,129.965301513672,2.53060007095337,9.78269958496094,20.8703002929688,24.6940002441406,5.79360008239746,-198726.671978902,-9216.18251393223
"15",15,189,47,17,60.7610015869141,83.6790008544922,26.75830078125,141.807998657227,3.6159999370575,8.80830001831055,19.6443004608154,24.5475997924805,6.72709989547729,-195112.663235061,-12851.1224480169
"16",15,190,48,17,127.183296203613,20.7966995239258,24.24169921875,136.21110534668,2.74379992485046,9.39169979095459,20.3267002105713,25.0223999023438,6.48070001602173,-197354.901152897,-11330.4568272587
"17",15,192,48,18,116.628997802734,32.1209983825684,22.4097003936768,129.157897949219,2.49559998512268,9.72729969024658,20.8486995697021,24.2124004364014,5.73479986190796,-198447.882203424,-10194.710316367
"18",15,191,48,17,39.2117004394531,109.934997558594,22.6797008514404,130.31379699707,2.53999996185303,9.6540002822876,21.0189990997314,24.7807998657227,5.60080003738403,-198141.580090165,-10463.3243041476
"19",15,194,48,19,126.892303466797,22.6842994689941,22.3509998321533,127.366096496582,2.36730003356934,9.89869976043701,20.6972999572754,24.051700592041,5.83720016479492,-198798.868549881,-9628.11703160359
"20",15,190,48,17,54.157299041748,95.2326965332031,23.0762996673584,132.285995483398,2.5132999420166,9.62870025634766,20.8819999694824,24.9815998077393,5.98680019378662,-197897.728457886,-10699.3064335315
"21",8,190,48,18,29.4209995269775,121.21900177002,23.4566993713379,132.691696166992,2.65179991722107,9.76169967651367,20.7823009490967,25.4293994903564,6.41580009460449,-197725.370215786,-9175.53824513452
"22",15,190,48,17,40.173999786377,109.132698059082,23.2763004302979,132.860107421875,2.60139989852905,9.63869953155518,20.817699432373,25.0949001312256,6.12169981002808,-198082.407347755,-10523.6679131445
"23",7,124,56,17,96.0096969604492,44.6969985961914,74.029296875,229.124206542969,8.18710041046143,6.68330001831055,21.8743000030518,30.0345993041992,0.146899998188019,-41253.9156409387,83291.6364703435
"24",5,134,57,22,88.4292984008789,69.8106994628906,61.5876998901367,231.919799804688,7.42129993438721,9.05529975891113,22.7129993438721,30.9659004211426,2.5460000038147,-68450.5702587695,101199.821617409
"25",8,134,58,21,86.2606964111328,69.0827026367188,62.2070007324219,226.89079284668,7.38180017471313,9.33930015563965,22.895299911499,31.0330009460449,2.71860003471375,-66765.4264168309,104022.520426258
"26",15,125,56,17,79.7586975097656,68.568000793457,74.2593002319336,229.312393188477,8.11979961395264,6.70130014419556,21.971700668335,30.073299407959,0.199799999594688,-41972.3187925893,84375.6908175657
"27",9,171,48,19,NA,NA,30.4232997894287,125.892997741699,3.26810002326965,10.7847003936768,25.8393001556396,32.782600402832,4.11770009994507,-90579.4186585701,84425.9507830827
"28",2,134,57,20,94.8629989624023,58.5736999511719,75.6723022460938,204.47590637207,6.71820020675659,7.55999994277954,22.6667003631592,31.1280994415283,0.397399991750717,-48058.9901995798,76345.7413357203
"29",8,169,49,19,46.9622993469238,116.707702636719,31.6667003631592,129.523895263672,3.2846999168396,10.5012998580933,25.5979995727539,32.6509017944336,3.92309999465942,-90517.9201564463,84729.8515169406
"30",11,169,37,14,27.4039993286133,144.805999755859,22.7362995147705,99.3135986328125,2.38170003890991,12.0222997665405,26.8799991607666,32.9366989135742,4.73939990997314,-128553.033503994,84956.0729069454
"31",15,171,49,19,NA,NA,30.6243000030518,125.859100341797,3.26519989967346,10.8416996002197,25.8512992858887,32.7643013000488,4.15420007705688,-90967.9598885304,84454.6922930088
"32",9,152,56,16,134.804000854492,4.19600009918213,52.3862991333008,283.729095458984,9.35900020599365,7.74669981002808,21.7737007141113,28.2045993804932,3.63940000534058,-323075.212384577,234281.093673834
"33",2,151,57,15,133.323303222656,0,65.0893020629883,265.372192382812,10.5749998092651,7.55469989776611,21.3500003814697,27.6315994262695,3.69320011138916,-342786.899710359,265054.15341819
