"","fvegHW90mask","aetfeb_90m","cwdfeb_90m","pptfeb_90m","pptdjf_90m","pptjja_90m","tmnfeb_90m","tmxfeb_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"40",15,30.6203002929688,0,187.88330078125,198.637893676758,3.81419992446899,1.50769996643066,14.1972999572754,31.7765998840332,0.779600024223328,-259042.837091956,128558.863045815
"41",15,30.6790008544922,0,154.58869934082,152.966995239258,2.54320001602173,1.68270003795624,14.5586996078491,32.219799041748,0.891099989414215,-243346.909708873,114928.816562178
"42",15,32.9053001403809,0,164.393707275391,163.739593505859,2.64269995689392,1.73070001602173,14.6169996261597,32.0589981079102,0.988900005817413,-239904.957244339,117654.96093914
"43",5,55.1360015869141,16.4272994995117,92.0112991333008,72.0141983032227,1.31579995155334,9.82870006561279,19.702299118042,26.8376998901367,9.21529960632324,165054.125668687,-451922.490604361
"44",8,61.0457000732422,14.8043003082275,117.730003356934,102.117301940918,1.42040002346039,10.0279998779297,18.8330001831055,29.2087001800537,10.2284002304077,103483.551324893,-439010.547254307
"45",5,60.4817008972168,17.2150001525879,98.7876968383789,78.7003021240234,0.939199984073639,9.57069969177246,19.2252998352051,24.3943996429443,9.47659969329834,104340.776531239,-441219.094267517
"46",15,65.7197036743164,2.93029999732971,165.635696411133,143.836898803711,0.999800026416779,7.69399976730347,17.3553009033203,27.5524005889893,8.25189971923828,-6974.01469783566,-387247.789578418
"47",8,51.6640014648438,9.88269996643066,87.7932968139648,67.7347030639648,0.624199986457825,9.72029972076416,18.0433006286621,23.8743991851807,9.72140026092529,154746.661552458,-519211.163210419
"48",8,51.6640014648438,9.88269996643066,87.7932968139648,67.7347030639648,0.624199986457825,9.72029972076416,18.0433006286621,23.8743991851807,9.72140026092529,154746.661552458,-519211.163210419
"49",8,51.6640014648438,9.88269996643066,87.7932968139648,67.7347030639648,0.624199986457825,9.72029972076416,18.0433006286621,23.8743991851807,9.72140026092529,154746.661552458,-519211.163210419
"50",8,51.6640014648438,9.88269996643066,87.7932968139648,67.7347030639648,0.624199986457825,9.72029972076416,18.0433006286621,23.8743991851807,9.72140026092529,154746.661552458,-519211.163210419
"51",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,152066.244677061,-513235.044111205
"52",15,56.432300567627,3.17569994926453,191.345001220703,146.105392456055,3.04629993438721,4.05399990081787,13.4047002792358,29.3547992706299,4.31839990615845,170837.4238188,-415004.38398107
"53",15,60.9737014770508,10.226300239563,115.423698425293,95.2001037597656,1.30480003356934,8.43970012664795,19.5716991424561,30.0946998596191,8.11639976501465,118649.72164374,-434047.550806004
"54",7,42.1372985839844,0,185.128005981445,176.092300415039,5.94999980926514,2.00099992752075,13.0986995697021,31.1781005859375,1.50759994983673,38178.6738972288,-77943.0202491255
"55",15,46.0836982727051,0,195.516296386719,183.309997558594,6.36870002746582,2.25200009346008,12.3443002700806,30.488899230957,2.02760004997253,40723.1205220729,-80494.4676804254
"56",15,46.0836982727051,0,195.516296386719,183.309997558594,6.36870002746582,2.25200009346008,12.3443002700806,30.488899230957,2.02760004997253,40723.1205220729,-80494.4676804254
"57",9,NA,NA,185.696304321289,176.716293334961,6.0012001991272,2.03870010375977,13.1827001571655,31.2968997955322,1.53470003604889,37805.3706344606,-77393.343313911
"58",9,NA,NA,185.696304321289,176.716293334961,6.0012001991272,2.03870010375977,13.1827001571655,31.2968997955322,1.53470003604889,37805.3706344606,-77393.343313911
"59",5,NA,NA,121.660003662109,121.633102416992,2.13919997215271,8.02200031280518,15.6929998397827,18.8568992614746,7.30719995498657,-222182.622139374,-18682.7179273502
"60",5,44.1399993896484,0,124.120697021484,124.763198852539,2.2846999168396,8.00069999694824,15.7876996994019,20.3376998901367,7.21120023727417,-217795.159896232,-17259.4919187655
"61",5,44.1399993896484,0,124.120697021484,124.763198852539,2.2846999168396,8.00069999694824,15.7876996994019,20.3376998901367,7.21120023727417,-217795.159896232,-17259.4919187655
"62",5,44.1399993896484,0,124.120697021484,124.763198852539,2.2846999168396,8.00069999694824,15.7876996994019,20.3376998901367,7.21120023727417,-217795.159896232,-17259.4919187655
"63",5,44.1399993896484,0,124.120697021484,124.763198852539,2.2846999168396,8.00069999694824,15.7876996994019,20.3376998901367,7.21120023727417,-217795.159896232,-17259.4919187655
"64",15,40.2346992492676,0,144.686004638672,144.930206298828,4.00479984283447,2.89669990539551,14.4036998748779,32.7727012634277,2.34130001068115,13935.8091701359,-38959.5915461597
"65",15,40.2346992492676,0,144.686004638672,144.930206298828,4.00479984283447,2.89669990539551,14.4036998748779,32.7727012634277,2.34130001068115,13935.8091701359,-38959.5915461597
"66",15,42.9080009460449,0,153.078704833984,152.963104248047,3.51620006561279,2.13669991493225,14.0979995727539,32.3763999938965,1.52890002727509,3434.25318829891,-57390.625348316
"67",15,42.9080009460449,0,153.078704833984,152.963104248047,3.51620006561279,2.13669991493225,14.0979995727539,32.3763999938965,1.52890002727509,3434.25318829891,-57390.625348316
"68",15,41.9492988586426,0.294699996709824,127.488700866699,126.72989654541,2.97810006141663,2.875,14.2923002243042,31.4911003112793,2.36400008201599,-516.619795163933,-45656.7221485456
"69",15,37.1257019042969,0,166.328002929688,167.556594848633,3.99539995193481,1.38469994068146,13.0333003997803,31.0970001220703,0.907700002193451,7060.20709540414,-51260.9429962919
"70",15,9.49730014801025,0,223.195297241211,214.011199951172,8.73480033874512,-3.09330010414124,8.69929981231689,24.9972991943359,-2.71630001068115,52748.754012775,-76494.5345564242
"71",15,5.65899991989136,0,214.723999023438,206.447799682617,8.5383996963501,-3.27769994735718,8.31929969787598,24.4885997772217,-2.88439989089966,53858.1208771663,-76863.2203600314
"72",8,38.1613006591797,0,211.789703369141,225.546005249023,4.01429986953735,4.67329978942871,12.4193000793457,28.5624008178711,4.16260004043579,-257655.978173335,102760.30764951
"73",8,33.7703018188477,0,182.952301025391,192.581207275391,3.06970000267029,3.24370002746582,13.2777004241943,30.7189998626709,2.7878999710083,-260020.580464671,121113.004289848
"74",15,39.0709991455078,0,187.445297241211,185.093597412109,2.20679998397827,4.35900020599365,16.362699508667,31.3304004669189,3.51999998092651,-218344.270207032,61006.2684907708
"75",5,40.1889991760254,0,135.381301879883,132.920394897461,2.30139994621277,5.15570020675659,16.6783008575439,28.612699508667,4.2613000869751,-196822.468725917,31621.3038605577
"76",11,39.600700378418,0,187.181701660156,185.05940246582,2.20930004119873,4.35129976272583,16.4452991485596,31.3736000061035,3.50880002975464,-218366.968351473,61465.0056076124
"77",11,39.600700378418,0,187.181701660156,185.05940246582,2.20930004119873,4.35129976272583,16.4452991485596,31.3736000061035,3.50880002975464,-218366.968351473,61465.0056076124
"78",7,36.8872985839844,0,215.80729675293,241.069107055664,3.7820999622345,4.47629976272583,13.8043003082275,29.7840995788574,4.21260023117065,-225833.644884141,77244.9943295643
"79",7,36.8872985839844,0,215.80729675293,241.069107055664,3.7820999622345,4.47629976272583,13.8043003082275,29.7840995788574,4.21260023117065,-225833.644884141,77244.9943295643
"80",15,38.1189994812012,0,153.006698608398,160.720794677734,5.47200012207031,4.49370002746582,16.0883007049561,34.2291984558105,3.67510008811951,-102960.959589123,142396.165378137
"81",15,34.0320014953613,0,192.160995483398,205.945098876953,6.50040006637573,3.66969990730286,15.0012998580933,33.203800201416,2.91319990158081,-94569.0929320731,142361.406206774
"82",15,56.007999420166,14.0120000839233,84.4132995605469,64.9533004760742,1.35839998722076,7.64370012283325,20.0463008880615,27.5368003845215,7.1314001083374,210081.239846724,-494783.51467479
"83",8,59.1082992553711,15.3016996383667,102.764701843262,73.1726989746094,1.46459996700287,8.20800018310547,20.1529998779297,29.0627994537354,7.77479982376099,227311.526770744,-491405.687819392
