"","fvegHW90mask","aetmay_90m","cwdmay_90m","pptmay_90m","pptdjf_90m","pptjja_90m","tmnmay_90m","tmxmay_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"24",15,22.077299118042,137.312698364258,15.2250003814697,111.391799926758,0.719600021839142,6.36700010299683,27.512300491333,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"25",15,22.077299118042,137.312698364258,15.2250003814697,111.391799926758,0.719600021839142,6.36700010299683,27.512300491333,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"26",15,22.077299118042,137.312698364258,15.2250003814697,111.391799926758,0.719600021839142,6.36700010299683,27.512300491333,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"27",15,22.077299118042,137.312698364258,15.2250003814697,111.391799926758,0.719600021839142,6.36700010299683,27.512300491333,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"28",15,96.1279983520508,59.2319984436035,55.4580001831055,210.918106079102,6.59619998931885,9.47599983215332,24.3516998291016,32.82080078125,2.69219994544983,-94380.2363864736,142370.336355968
"29",2,22.3729991912842,147.393707275391,20.1292991638184,91.8159027099609,2.00200009346008,11.0957002639771,26.8383007049561,33.3008003234863,4.22840023040771,-89302.5542648429,28632.2989006056
"30",7,142.76530456543,5.13469982147217,80.3503036499023,281.174896240234,8.81760025024414,7.11199998855591,19.8637008666992,27.4599990844727,0.891600012779236,-73435.1631452708,145542.647950903
"31",7,152.338302612305,2.10829997062683,67.6942977905273,263.404998779297,7.67519998550415,7.94799995422363,21.9899997711182,29.5440006256104,1.08560001850128,-87772.7718173818,139830.512659045
"32",15,80.9557037353516,75.1076965332031,42.7700004577637,162.921005249023,4.5366997718811,9.69970035552979,23.9407005310059,31.5083999633789,2.86339998245239,-82822.3410939455,107380.004979066
"33",2,159.773300170898,0.71670001745224,51.8889999389648,206.435195922852,6.55830001831055,9.13099956512451,23.5132999420166,31.1499996185303,2.00570011138916,-81840.1574818405,121479.36719243
"34",2,159.773300170898,0.71670001745224,51.8889999389648,206.435195922852,6.55830001831055,9.13099956512451,23.5132999420166,31.1499996185303,2.00570011138916,-81840.1574818405,121479.36719243
"35",5,23.5503005981445,144.336303710938,11.8122997283936,77.2684020996094,4.93860006332397,9.94699954986572,26.9293003082275,34.2029991149902,4.25790023803711,288831.909601075,-449726.77907229
"36",15,8.82269954681396,150.400695800781,7.84469985961914,83.4700012207031,2.28889989852905,11.5,24.8479995727539,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"37",15,8.82269954681396,150.400695800781,7.84469985961914,83.4700012207031,2.28889989852905,11.5,24.8479995727539,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"38",15,8.82269954681396,150.400695800781,7.84469985961914,83.4700012207031,2.28889989852905,11.5,24.8479995727539,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"39",15,126.13330078125,44.1666984558105,24.9986991882324,109.999298095703,2.67779994010925,11.3896999359131,26.742000579834,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
