"","fvegHW90mask","aetnov_90m","cwdnov_90m","pptnov_90m","pptdjf_90m","pptjja_90m","tmnnov_90m","tmxnov_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"40",15,31.257999420166,12.0539999008179,59.793701171875,107.764099121094,0.622699975967407,2.58669996261597,20.1429996490479,33.0182991027832,1.23909997940063,-131695.105721016,-193280.933142898
"41",8,35.5696983337402,2.59299993515015,173.542007446289,225.546005249023,4.01429986953735,6.3769998550415,15.0443000793457,28.5624008178711,4.16260004043579,-257655.978173335,102760.30764951
"42",8,35.5696983337402,2.59299993515015,173.542007446289,225.546005249023,4.01429986953735,6.3769998550415,15.0443000793457,28.5624008178711,4.16260004043579,-257655.978173335,102760.30764951
"43",15,32.1327018737793,5.56230020523071,111.275001525879,185.093597412109,2.20679998397827,5.42070007324219,18.2513008117676,31.3304004669189,3.51999998092651,-218344.270207032,61006.2684907708
"44",5,31.8987007141113,6.86469984054565,85.193000793457,132.920394897461,2.30139994621277,6.20329999923706,18.4883003234863,28.612699508667,4.2613000869751,-196822.468725917,31621.3038605577
"45",5,31.8987007141113,6.86469984054565,85.193000793457,132.920394897461,2.30139994621277,6.20329999923706,18.4883003234863,28.612699508667,4.2613000869751,-196822.468725917,31621.3038605577
"46",11,32.6160011291504,5.7846999168396,110.905700683594,185.05940246582,2.20930004119873,5.37930011749268,18.350700378418,31.3736000061035,3.50880002975464,-218366.968351473,61465.0056076124
"47",5,27.5463008880615,45.9202995300293,26.5137004852295,55.0220985412598,1.03620004653931,10.25,21.483699798584,24.2959995269775,7.93340015411377,202528.610127482,-492132.636478003
"48",15,33.5906982421875,4.84630012512207,107.319000244141,150.062103271484,3.97790002822876,6.01569986343384,16.6103000640869,32.668701171875,3.63289999961853,-91070.7795489354,97729.1879001916
"49",2,36.3740005493164,2.31970000267029,150.561996459961,206.435195922852,6.55830001831055,4.27229976654053,15.9336996078491,31.1499996185303,2.00570011138916,-81840.1574818405,121479.36719243
"50",15,34.4986991882324,3.58570003509521,118.720001220703,157.295806884766,4.29759979248047,5.20800018310547,17.0552997589111,31.7872009277344,2.91540002822876,-93660.3212101681,114553.582002226
"51",15,34.4986991882324,3.58570003509521,118.720001220703,157.295806884766,4.29759979248047,5.20800018310547,17.0552997589111,31.7872009277344,2.91540002822876,-93660.3212101681,114553.582002226
"52",5,32.2126998901367,39.5989990234375,36.1147003173828,80.8274002075195,4.8600001335144,6.53700017929077,21.3390007019043,34.2112998962402,4.43599987030029,279444.565646583,-449542.909321128
"53",15,27.5172996520996,47.8160018920898,27.7723007202148,83.4700012207031,2.28889989852905,9.79370021820068,21.5256996154785,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"54",15,27.5172996520996,47.8160018920898,27.7723007202148,83.4700012207031,2.28889989852905,9.79370021820068,21.5256996154785,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"55",15,27.5172996520996,47.8160018920898,27.7723007202148,83.4700012207031,2.28889989852905,9.79370021820068,21.5256996154785,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"56",15,27.5172996520996,47.8160018920898,27.7723007202148,83.4700012207031,2.28889989852905,9.79370021820068,21.5256996154785,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"57",15,27.3337001800537,47.2163009643555,27.6263008117676,83.5419998168945,2.26640009880066,9.73499965667725,21.600700378418,31.6529006958008,7.417799949646,253265.843665214,-494590.222777361
"58",15,27.5172996520996,47.8160018920898,27.7723007202148,83.4700012207031,2.28889989852905,9.79370021820068,21.5256996154785,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"59",15,27.5172996520996,47.8160018920898,27.7723007202148,83.4700012207031,2.28889989852905,9.79370021820068,21.5256996154785,31.5531997680664,7.44509983062744,253024.160286552,-494203.44807151
"60",15,32.092700958252,7.40729999542236,70.5672988891602,109.999298095703,2.67779994010925,6.69570016860962,17.5937004089355,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
"61",15,32.092700958252,7.40729999542236,70.5672988891602,109.999298095703,2.67779994010925,6.69570016860962,17.5937004089355,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
"62",15,32.092700958252,7.40729999542236,70.5672988891602,109.999298095703,2.67779994010925,6.69570016860962,17.5937004089355,33.2672004699707,4.55569982528687,-103199.851483244,71004.827034934
"63",15,35.898998260498,8.84869956970215,92.0962982177734,136.456893920898,2.48420000076294,5.24200010299683,17.2353000640869,26.5319004058838,3.06469988822937,-133987.877861063,-138485.204281258
"64",5,14.2836999893188,11.5590000152588,44.8316993713379,102.921997070312,12.9209995269775,-3.54200005531311,12.1556997299194,26.4204006195068,-6.03189992904663,284444.33655533,-414464.106843832
"65",5,35.2809982299805,18.262300491333,53.3619995117188,118.434196472168,0.990899980068207,7.32730007171631,19.2203006744385,19.0401000976562,5.77869987487793,-97886.2981833431,-271994.891577493
"66",5,35.2809982299805,18.262300491333,53.3619995117188,118.434196472168,0.990899980068207,7.32730007171631,19.2203006744385,19.0401000976562,5.77869987487793,-97886.2981833431,-271994.891577493
"67",5,34.8726997375488,22.600700378418,46.1043014526367,101.501998901367,1.18929994106293,7.43100023269653,20.6389999389648,23.4197006225586,5.62960004806519,-67548.9221966252,-298411.418023466
"68",15,32.9502983093262,33.6829986572266,38.9712982177734,99.4030990600586,1.08120000362396,7.81899976730347,20.9246997833252,23.5552005767822,6.00269985198975,-21759.8233286828,-391995.579530491
"69",15,32.9502983093262,33.6829986572266,38.9712982177734,99.4030990600586,1.08120000362396,7.81899976730347,20.9246997833252,23.5552005767822,6.00269985198975,-21759.8233286828,-391995.579530491
"70",15,37.8266983032227,6.32030010223389,136.333297729492,230.404998779297,2.44339990615845,4.39769983291626,19.7600002288818,27.914400100708,3.25909996032715,-183836.027065126,-106284.814411225
"71",7,38.9492988586426,7.05030012130737,129.014297485352,214.000106811523,2.47989988327026,5.06069993972778,19.1756992340088,26.4839000701904,3.82220005989075,-181383.854078403,-107927.887062389
"72",7,30.2119998931885,0.224999994039536,209.9873046875,309.893798828125,15.487099647522,4.74170017242432,15.8292999267578,33.2537994384766,2.07480001449585,-189961.075792221,319383.658933136
"73",7,20.7092990875244,0.314000010490417,197.954299926758,272.651306152344,10.9476003646851,0.200299993157387,13.6606998443604,30.3418998718262,-1.34879994392395,-71013.8347904193,171771.910533588
