"","fvegHW90mask","aetjan_90m","cwdjan_90m","pptjan_90m","pptdjf_90m","pptjja_90m","tmnjan_90m","tmxjan_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"25",7,23.382999420166,0,229.091003417969,237.049606323242,7.90570020675659,2.62369990348816,11.2272996902466,30.9388008117676,2.46630001068115,-66049.2998103805,103275.352827109
"26",5,24.8439998626709,0,222.59700012207,231.919799804688,7.42129993438721,2.6382999420166,11.6033000946045,30.9659004211426,2.5460000038147,-68450.5702587717,101199.821617407
"27",2,21.7786998748779,0,251.498001098633,258.196105957031,10.1738004684448,3.50430011749268,11.6470003128052,27.2243995666504,3.62709999084473,-340440.692064893,266844.245619182
"28",15,30.077299118042,7.31769990921021,61.4393005371094,59.1142997741699,1.48230004310608,1.70669996738434,11.8109998703003,31.1795997619629,1.603600025177,99768.6922785814,-348935.612543597
"29",5,37.2239990234375,1.27999997138977,75.3597030639648,68.448600769043,3.17400002479553,1.97000002861023,15.2349996566772,35.3199005126953,2.37980008125305,125388.317652599,-273409.116693967
"30",5,37.2239990234375,1.27999997138977,75.3597030639648,68.448600769043,3.17400002479553,1.97000002861023,15.2349996566772,35.3199005126953,2.37980008125305,125388.317652599,-273409.116693967
"31",15,18.0443000793457,0,149.434005737305,152.966995239258,2.54320001602173,0.574999988079071,12.6520004272461,32.219799041748,0.891099989414215,-243347.741396525,114929.953181879
"32",7,22.1993007659912,0,232.994995117188,233.11799621582,5.80819988250732,2.65700006484985,11.3509998321533,30.1177005767822,2.55259990692139,-258453.330789406,147183.589665456
"33",7,22.1993007659912,0,232.994995117188,233.11799621582,5.80819988250732,2.65700006484985,11.3509998321533,30.1177005767822,2.55259990692139,-258453.330789406,147183.589665456
"34",5,16.9799995422363,0,197.978302001953,198.062896728516,4.97009992599487,0.27700001001358,12.3066997528076,31.3607006072998,0.565100014209747,-254387.141540803,141383.171993049
"35",15,18.8110008239746,0,147.230697631836,140.565200805664,2.44000005722046,0.694000005722046,13.1956996917725,32.6087989807129,1.00310003757477,-218296.290402309,110099.680436176
"36",15,18.8110008239746,0,147.230697631836,140.565200805664,2.44000005722046,0.694000005722046,13.1956996917725,32.6087989807129,1.00310003757477,-218296.290402309,110099.680436176
"37",15,22.8463001251221,0.127000004053116,123.870697021484,114.802001953125,2.99429988861084,3.43869996070862,12.253999710083,33.638801574707,3.62220001220703,-208857.184210274,112909.16942979
"38",15,22.8463001251221,0.127000004053116,123.870697021484,114.802001953125,2.99429988861084,3.43869996070862,12.253999710083,33.638801574707,3.62220001220703,-208857.184210274,112909.16942979
"39",15,22.8463001251221,0.127000004053116,123.870697021484,114.802001953125,2.99429988861084,3.43869996070862,12.253999710083,33.638801574707,3.62220001220703,-208857.184210274,112909.16942979
"40",7,22.0902996063232,0,281.748687744141,281.188598632812,5.27570009231567,3.32369995117188,11.1470003128052,30.2959003448486,3.27940011024475,-235532.141461795,95794.390330724
"41",7,22.0902996063232,0,281.748687744141,281.188598632812,5.27570009231567,3.32369995117188,11.1470003128052,30.2959003448486,3.27940011024475,-235532.141461795,95794.390330724
"42",7,22.0902996063232,0,281.748687744141,281.188598632812,5.27570009231567,3.32369995117188,11.1470003128052,30.2959003448486,3.27940011024475,-235532.141461795,95794.390330724
"43",8,19.6793003082275,0,174.836303710938,178.680404663086,2.50859999656677,1.38269996643066,12.8929996490479,31.9041004180908,1.62440001964569,-251765.950446266,105932.483990712
"44",15,20.0592994689941,0,161.927703857422,163.739593505859,2.64269995689392,0.689300000667572,12.7426996231079,32.0589981079102,0.988900005817413,-239904.957244339,117654.96093914
"45",8,48.089298248291,12.4506998062134,95.1809997558594,89.1071014404297,1.20420002937317,6.81669998168945,19.0172996520996,33.1236000061035,6.83290004730225,123013.463257091,-423502.36175149
"46",8,48.089298248291,12.4506998062134,95.1809997558594,89.1071014404297,1.20420002937317,6.81669998168945,19.0172996520996,33.1236000061035,6.83290004730225,123013.463257091,-423502.36175149
"47",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,155298.892919756,-520569.353789729
"48",8,53.4496994018555,6.66699981689453,112.471298217773,101.117698669434,1.07389998435974,7.50169992446899,17.3353004455566,31.9575996398926,7.61590003967285,102448.288271097,-406766.055456337
"49",8,53.4496994018555,6.66699981689453,112.471298217773,101.117698669434,1.07389998435974,7.50169992446899,17.3353004455566,31.9575996398926,7.61590003967285,102448.288271097,-406766.055456337
"50",8,50.1002998352051,9.34630012512207,104.850997924805,94.2994003295898,1.1981999874115,8.37100028991699,18.3920001983643,31.7999000549316,8.33860015869141,110787.565473156,-430366.308411307
"51",5,NA,NA,123.352996826172,121.633102416992,2.13919997215271,6.89970016479492,13.9230003356934,18.8568992614746,7.30719995498657,-222182.622139374,-18682.7179273502
"52",7,19.5137004852295,0,196.080001831055,184.942092895508,4.78980016708374,-0.999000012874603,11.0473003387451,28.7973003387451,-0.523599982261658,28436.1263018924,-52107.1330923554
"53",15,18.6809997558594,0,252.27799987793,251.91259765625,6.21280002593994,0.97869998216629,11.8680000305176,27.4650993347168,1.04410004615784,-290979.406272736,163876.844108228
"54",8,16.4080009460449,0,334.225708007812,341.121185302734,9.62129974365234,1.39530003070831,11.7652997970581,26.4535999298096,1.54390001296997,-310638.662075594,207856.731800841
"55",7,17.9290008544922,0,239.654296875,239.018402099609,5.66660022735596,0.584699988365173,12.3549995422363,27.6226997375488,0.70880001783371,-289472.529431348,160264.944687514
"56",15,36.8403015136719,0.632700026035309,127.631698608398,108.570297241211,1.56789994239807,5.89699983596802,15.7379999160767,19.8178997039795,6.14079999923706,-164645.302927988,-191076.442623815
"57",15,32.8642997741699,0.309300005435944,107.843696594238,111.391799926758,0.719600021839142,1.67030000686646,16.9069995880127,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"58",15,32.8642997741699,0.309300005435944,107.843696594238,111.391799926758,0.719600021839142,1.67030000686646,16.9069995880127,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"59",15,32.8642997741699,0.309300005435944,107.843696594238,111.391799926758,0.719600021839142,1.67030000686646,16.9069995880127,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"60",15,32.8642997741699,0.309300005435944,107.843696594238,111.391799926758,0.719600021839142,1.67030000686646,16.9069995880127,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"61",5,25.7903003692627,0.215000003576279,197.494003295898,202.369903564453,3.25769996643066,3.85030007362366,11.8326997756958,28.922700881958,3.92770004272461,-213182.583651463,64932.1802251083
"62",8,26.24169921875,0,206.738998413086,225.546005249023,4.01429986953735,4.12200021743774,11.4879999160767,28.5624008178711,4.16260004043579,-257655.978173335,102760.30764951
"63",8,26.24169921875,0,206.738998413086,225.546005249023,4.01429986953735,4.12200021743774,11.4879999160767,28.5624008178711,4.16260004043579,-257655.978173335,102760.30764951
