"","fvegHW90mask","aetdec_90m","cwddec_90m","pptdec_90m","pptdjf_90m","pptjja_90m","tmndec_90m","tmxdec_90m","tmxjja_90m","tmndjf_90m","longitude","latitude"
"13",4,27.6432991027832,0.957300007343292,122.151298522949,126.894798278809,2.33189988136292,5.61630010604858,13.4117002487183,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"14",15,26.5963001251221,0.750299990177155,126.637298583984,130.31379699707,2.53999996185303,5.40399980545044,13.0279998779297,24.7807998657227,5.60080003738403,-198123.223727554,-10467.0972286062
"15",15,27.5702991485596,0.919300019741058,122.871299743652,127.366096496582,2.36730003356934,5.67670011520386,13.3402996063232,24.051700592041,5.83720016479492,-198798.868549884,-9628.11703160359
"16",9,26.9759998321533,0.804000020027161,130.01530456543,133.158706665039,2.57139992713928,5.78999996185303,12.726300239563,25.1431999206543,6.0721001625061,-197606.202016697,-10999.796048251
"17",4,27.6432991027832,0.957300007343292,122.151298522949,126.894798278809,2.33189988136292,5.61630010604858,13.4117002487183,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"18",4,27.6432991027832,0.957300007343292,122.151298522949,126.894798278809,2.33189988136292,5.61630010604858,13.4117002487183,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"19",4,27.6432991027832,0.957300007343292,122.151298522949,126.894798278809,2.33189988136292,5.61630010604858,13.4117002487183,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"20",4,27.6432991027832,0.957300007343292,122.151298522949,126.894798278809,2.33189988136292,5.61630010604858,13.4117002487183,23.7985992431641,5.7701997756958,-199181.564161156,-9140.81201261701
"21",15,23.6502990722656,0,214.632995605469,206.365295410156,6.2487998008728,2.65630006790161,11.6637001037598,31.1119003295898,2.85669994354248,-72685.453563838,99324.3932892531
"22",15,16.680700302124,0,248.407699584961,232.085693359375,8.62530040740967,3.08170008659363,11.2552995681763,30.5923004150391,3.34419989585876,-307450.852502631,245898.761918699
"23",15,21.7907009124756,0,332.382995605469,297.7041015625,10.5986995697021,4.23299980163574,11.475700378418,28.8150997161865,3.42810010910034,-320858.298199555,239384.273434646
"24",5,25.9829998016357,2.33870005607605,122.018997192383,132.963195800781,3.3814001083374,1.98370003700256,13.7397003173828,33.1511001586914,2.43939995765686,-10531.5063375624,-49747.6671452825
"25",2,21.4729995727539,0,203.246994018555,188.418899536133,4.00719976425171,3.46199989318848,13.8147001266479,28.8421001434326,3.91280007362366,-300204.88243738,123509.308913966
"26",15,27.7383003234863,2.61129999160767,104.902000427246,111.391799926758,0.719600021839142,1.43669998645782,16.9060001373291,33.6363983154297,1.99430000782013,-133333.106345351,-196848.453136429
"27",15,30.9062995910645,1.98870003223419,155.27229309082,172.873397827148,1.1246999502182,2.92630004882812,15.0177001953125,27.7117004394531,3.37969994544983,-125787.538162089,-222744.878746169
"28",15,30.6193008422852,1.00899994373322,177.869003295898,198.100799560547,1.47930002212524,2.08730006217957,14.8950004577637,30.8160991668701,2.81100010871887,-131720.962188772,-209875.98941558
"29",15,25.7036991119385,0.089699998497963,230.488296508789,218.907592773438,3.59660005569458,4.20900011062622,12.1750001907349,29.3913993835449,4.5479998588562,-219749.171115774,58944.1269890587
"30",8,24.6912994384766,0.061999998986721,258.109313964844,225.546005249023,4.01429986953735,3.69230008125305,11.5389995574951,28.5624008178711,4.16260004043579,-257655.978173335,102760.30764951
