"species","longitude","latitude","aet","cwd","ppt","tmn","tmx","fvegrec","mam","brd","rep"
"Ixodes pacificus",-103198.717065,71004.2448825,32.2322998046875,7.48769998550415,70.7229995727539,6.74200010299683,17.5779991149902,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,32.2322998046875,7.48769998550415,70.7229995727539,6.74200010299683,17.5779991149902,6,39,167,14
"Ixodes pacificus",-103198.717065,71004.2448825,32.2322998046875,7.48769998550415,70.7229995727539,6.74200010299683,17.5779991149902,6,39,167,14
"Ixodes pacificus",-212577.486806,63370.3879895,34.065299987793,5.40899991989136,126.643997192383,5.94029998779297,15.693699836731,7,47,174,18
"Ixodes pacificus",-212577.486806,63370.3879895,34.065299987793,5.40899991989136,126.643997192383,5.94029998779297,15.693699836731,7,47,174,18
"Ixodes pacificus",-261893.940077,62497.7371097,38.0870018005371,2.66370010375977,178.712005615234,6.28229999542236,17.2143001556396,7,53,164,17
"Ixodes pacificus",-218365.82377,61464.4193477,32.6160011291504,5.7846999168396,110.90599822998,5.37930011749268,18.350700378418,11,46,171,17
"Ixodes pacificus",-218343.125607,61005.6822679,32.1327018737793,5.56230020523071,111.275001525879,5.42070007324219,18.2513008117676,6,46,171,17
"Ixodes pacificus",-218343.125607,61005.6822679,32.1327018737793,5.56230020523071,111.275001525879,5.42070007324219,18.2513008117676,6,46,171,17
"Ixodes pacificus",-231237.869278,51217.3957569,33.6096992492676,4.95270013809204,110.801002502441,5.75029993057251,18.5536994934082,6,46,174,15
"Ixodes pacificus",-56005.7560289,45626.1817891,35.9309997558594,4.70300006866455,110.403999328613,5.3769998550415,16.2262992858887,2,55,142,21
"Ixodes pacificus",-56005.7560289,45626.1817891,35.9309997558594,4.70300006866455,110.403999328613,5.3769998550415,16.2262992858887,2,55,142,21
"Ixodes pacificus",-196821.324607,31620.7209261,31.8987007141113,6.86469984054565,85.193000793457,6.20329999923706,18.4883003234863,5,44,173,15
"Ixodes pacificus",-196821.324607,31620.7209261,31.8987007141113,6.86469984054565,85.193000793457,6.20329999923706,18.4883003234863,5,44,173,15
"Ixodes pacificus",-35084.5670362,2298.43684203,35.4280014038086,6.11670017242432,98.1940002441406,3.53800010681152,16.6229991912842,6,55,142,20
"Ixodes pacificus",-35084.5670362,2298.43684203,35.4280014038086,6.11670017242432,98.1940002441406,3.53800010681152,16.6229991912842,6,55,142,20
"Ixodes pacificus",-218929.085829,2063.80591011,32.9210014343262,6.49230003356934,105.428001403809,7.71500015258789,17.4799995422363,6,42,198,14
"Ixodes pacificus",-218929.085829,2063.80591011,32.9210014343262,6.49230003356934,105.428001403809,7.71500015258789,17.4799995422363,6,42,198,14
