longitude,latitude,aet,cwd,ppt,tmn,tmx,fvegrec,mam,brd,rep
-78317.97326,169661.0934,10.88230038,0,264.8779907,-1.085299969,10.04969978,7,56,119,18
-78317.97326,169661.0934,10.88230038,0,264.8779907,-1.085299969,10.04969978,7,56,119,18
-290978.2602,163876.2472,18.68099976,0,252.2779999,0.978699982,11.86800003,7,57,156,16
-289471.3833,160264.3481,17.92900085,0,239.654007,0.584699988,12.35499954,7,54,150,18
-99353.9424,157509.9549,21.53129959,0,281.7090149,1.096300006,12.65970039,6,56,141,19
-99353.9424,157509.9549,21.53129959,0,281.7090149,1.096300006,12.65970039,6,56,141,19
-97500.06672,154264.7117,21.92300034,0,267.2149963,1.363299966,12.92630005,7,57,141,19
-94239.07937,153448.4548,21.49230003,0,235.9530029,1.648300052,12.57699966,7,57,137,19
-93272.15479,153704.0652,20.44569969,0,233.0209961,1.769999981,12.45670033,7,56,135,19
-64464.27341,149558.2435,10.17500019,0,265.506012,-1.087000012,9.671699524,7,57,118,19
-258452.1866,147182.9952,22.19930077,0,232.9949951,2.657000065,11.35099983,7,54,158,19
-258452.1866,147182.9952,22.19930077,0,232.9949951,2.657000065,11.35099983,7,54,158,19
-254385.9974,141382.5781,16.97999954,0,197.9779968,0.27700001,12.30669975,5,53,157,19
-78967.00103,141317.1556,14.65400028,0,265.8720093,-0.135000005,9.687999725,7,58,128,20
-87642.14493,139846.318,19.24769974,0,256.8009949,0.915700018,10.90600014,7,58,140,21
-87642.14493,139846.318,19.24769974,0,256.8009949,0.915700018,10.90600014,7,58,140,21
-87642.14493,139846.318,19.24769974,0,256.8009949,0.915700018,10.90600014,7,58,140,21
-91753.18063,137972.0444,19.75670052,0,236.1159973,1.326699972,12.07299995,6,56,143,22
-91753.18063,137972.0444,19.75670052,0,236.1159973,1.326699972,12.07299995,6,56,143,22
-91753.18063,137972.0444,19.75670052,0,236.1159973,1.326699972,12.07299995,6,56,143,22
-91753.18063,137972.0444,19.75670052,0,236.1159973,1.326699972,12.07299995,6,56,143,22
-153630.1237,135460.3514,21.76530075,0,127.3259964,2.941299915,12.86830044,6,39,170,14
-90805.56662,129336.8105,19.08130074,0,231.595993,0.578000009,11.86330032,7,56,142,22
-90805.56662,129336.8105,19.08130074,0,231.595993,0.578000009,11.86330032,7,56,142,22
-259951.3809,123256.3661,21.42670059,0,194.1210022,2.532999992,11.72529984,8,52,159,19
-239903.8133,117654.3694,20.05929947,0,161.9279938,0.689300001,12.74269962,2,50,175,18
-243346.5971,114929.3618,18.04430008,0,149.4340057,0.574999988,12.65200043,6,49,163,19
-208856.0426,112908.5796,22.84630013,0.127000004,123.8710022,3.438699961,12.25399971,6,48,147,17
-208856.0426,112908.5796,22.84630013,0.127000004,123.8710022,3.438699961,12.25399971,6,48,147,17
-208856.0426,112908.5796,22.84630013,0.127000004,123.8710022,3.438699961,12.25399971,6,48,147,17
-209053.2216,112948.0703,22.77770042,0.151700005,124.6060028,3.420700073,12.2876997,6,48,147,17
-218295.1479,110099.0904,18.81100082,0,147.2310028,0.694000006,13.19569969,6,50,165,18
-218295.1479,110099.0904,18.81100082,0,147.2310028,0.694000006,13.19569969,6,50,165,18
